Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Length,Print Length,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq ft,Printer,Minutes of Print Time,Total Ink Used For Print,Day of Week,Empty Space
12x18 Clement Ford Parking CUSTOMER FIX 4-5-24_HPW24.eps,2024-04-05,0 days 00:07:01,1272.0,53.01,23.01338583,529.6249876,0.5836281544025157,"High Performance White 24""",0.456504141,Roland,7.016666666666667,1.6790000001144005,Friday,742.3750124
12x18 FACP Decal 7-17-24_RFVW30.eps,2024-07-18,0 days 00:04:59,1309.0,43.64,13.63897638,261.411924,0.8002964675324675,"Reflective White Vinyl 30""",0.7711966497,Roland,4.983333333333333,1.3999999998641044,Thursday,1047.588076
12x18 Mags 5-20-24_MAG24.eps,2024-05-21,0 days 00:19:01,3060.0,127.5,97.5,1901.211614,0.3786890150326797,"Magnet 24""",0.5897965232,Roland,19.016666666666666,7.786999998643475,Tuesday,1158.788386
12x20 Mag CDS  FINAL NEW  7-9-24_MAG24.eps,2024-07-10,0 days 00:11:03,1919.0,79.97,49.97244094,1074.40748,0.44012116727462214,"Magnet 24""",0.2278465149,Roland,11.05,1.6999999993089683,Wednesday,844.5925199999999
12x23.5 Rest in Heaven Mag 9-03-24_MAG24.eps,2024-09-03,0 days 00:04:05,997.0,41.56,11.55905512,271.6377953,0.727544839217653,"Magnet 24""",0.8646219491,Roland,4.083333333333333,1.6310000001493945,Tuesday,725.3622047
12x24 Keeley Mags  3-13-23_MAG24.eps,2024-09-16,0 days 00:06:02,1297.0,54.03,24.02716535,535.2665951,0.5873040901310717,"Magnet 24""",0.246695761,Roland,6.033333333333333,0.9170000001116207,Monday,761.7334049
12x24 mag 1 color blue on white 9-25-24_MAG24.eps,2024-09-30,0 days 00:04:58,1008.0,42.01,12.01338583,264.2897585,0.7378077792658729,"Magnet 24""",0.2784216854,Roland,4.966666666666667,0.5109999999689513,Monday,743.7102414999999
14x14 ESD Mags 5-3-24_MAG24.eps,2024-05-06,0 days 00:09:58,3158.0,58.47,28.47244094,425.8983942,0.8651366706143129,"Magnet 24""",0.8699539727,Roland,9.966666666666667,2.5730000000058375,Monday,2732.1016058
16x108 Decal New Equip.  6-20-24_HPW36.eps,2024-06-24,0 days 00:30:00,5029.0,139.71,109.7082677,3673.672048,0.269502476038974,"High Performance White 36""",0.3337303885,Roland,30.0,8.513999998615489,Monday,1355.327952
16x108 Decal New Equip.  6-20-24_v2_HPW36.eps,2024-06-24,0 days 00:28:00,5029.0,139.71,109.7082677,3673.672048,0.269502476038974,"High Performance White 36""",0.3338087842,Roland,28.0,8.515999999252806,Monday,1355.327952
18x18 WWT Fedex-UPS Mags 4-2-24_MAG24.eps,2024-04-02,0 days 00:12:59,2016.0,84.01,54.01377953,972.9923159,0.5173649226686508,"Magnet 24""",0.4188316735,Roland,12.983333333333333,2.8299999997988725,Tuesday,1043.0076841
18x46 CHEERS Banner 9-20-24_BAN63.eps,2024-09-23,0 days 00:06:02,2079.6299999999997,33.01,18.01377953,828.8820796,0.6014281003832412,"Banner 63""",0.7642293344,Roland,6.033333333333333,4.398999999922193,Monday,1250.7479203999997
1A_Clement Ford Windows_PERF60.eps,2024-04-25,0 days 01:19:03,9170.4,152.84,122.8409449,6556.611252,0.28502450798220363,"Perforated 60""",1.708056022,Roland,79.05,77.7712453673025,Thursday,2613.788748
1B_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 01:07:58,7588.2,126.47,111.4720472,6061.270626,0.20122418676365927,"Perforated 60""",0.8279927279,Roland,67.96666666666667,34.852000001124175,Friday,1526.9293739999994
2) mags 80  5-16_MAG24.eps,2024-05-16,0 days 00:21:58,2880.0,120.0,90.0,2098.73622,0.2712721458333334,"Magnet 24""",0.6753549999,Roland,21.966666666666665,9.842999997557127,Thursday,781.2637800000002
2) Mccarthy 20 ft lock box containers 3 20 24_HPW54 .eps,2024-03-20,0 days 02:16:05,30124.0,598.89,493.8897638,21840.81647,0.2749695767494356,"High Performance White 54""",3.278224699,Roland,136.08333333333334,497.2159999880555,Wednesday,8283.183529999998
2) Mccarthy 20 ft lock box containers 5 3 24_HPW54 .eps,2024-05-02,0 days 01:10:01,16575.0,306.94,246.9448819,10920.40823,0.3411518413273002,"High Performance White 54""",1.63911235,Roland,70.01666666666667,124.30399997801833,Thursday,5654.591770000001
2) Mccarthy 20 ft lock box containers 6 19 24_HPW54 .eps,2024-06-20,0 days 03:18:02,49725.0,920.83,740.8346457,32761.2247,0.34115184112619407,"High Performance White 54""",4.917337049,Roland,198.03333333333333,1118.7359999161383,Thursday,16963.7753
2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,2024-02-07,0 days 00:23:04,6345.0,117.5,87.5,3487.839567,0.4503010926713948,"High Performance White 54""",0.607156367,Roland,23.066666666666666,14.70600000124009,Wednesday,2857.160433
2) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_HPW54.eps,2024-04-19,0 days 00:16:02,3008.0,81.39,51.38897638,2466.650634,0.1799698690159574,"High Performance White 54""",0.3694207795,Roland,16.033333333333335,6.327999999767009,Friday,541.3493659999999
2) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_REDO_HPW54.eps,2024-04-30,0 days 00:29:58,6764.0,125.25,95.25,4688.4,0.3068598462448256,"High Performance White 54""",0.1944202713,Roland,29.966666666666665,6.329999999742499,Tuesday,2075.6000000000004
2) Parsons Blewett 2024 WALL  NEW FINAL  5-15-24_HPW60.eps,2024-05-16,0 days 00:31:59,7695.0,128.25,98.2496063,5698.438484,0.25946218531513965,"High Performance White 60""",0.5549815109,Roland,31.983333333333334,21.961999997368235,Thursday,1996.5615159999998
2020 24x42  banner FINAL 4-18-24_BAN54.eps,2024-04-19,0 days 00:12:02,3619.62,67.03,52.02755906,2289.929514,0.36735637608367727,"Banner 54""",1.213158739,Roland,12.033333333333333,19.2920000111328,Friday,1329.690486
2020 24x42 ADDON   banner FINAL  4-23-24_BAN38.eps,2024-04-23,0 days 00:08:03,2243.14,59.03,44.02755906,1145.929893,0.48914027078113714,"Banner 38""",0.6534431158,Roland,8.05,5.199999998404726,Tuesday,1097.2101069999999
2024  CrossCounty and Track and Field  Decals Final  8-6-24_HPW54.eps,2024-08-08,0 days 00:21:59,5083.0,94.13,64.12519685,3167.961447,0.3767536008262837,"High Performance White 54""",0.1856840778,Roland,21.983333333333334,4.0849999985565875,Thursday,1915.0385529999999
2024 7TH GRADE Girls Softball 7-2-24_BAN38.eps,2024-07-02,0 days 00:15:04,3387.32,89.14,74.13858268,2688.545217,0.20629134035166452,"Banner 38""",1.429692153,Roland,15.066666666666666,26.69299999812904,Tuesday,698.7747830000003
2024 Fishing banner 5-23_BAN54.eps,2024-05-24,0 days 00:25:00,6102.54,113.01,98.01377953,4902.03956,0.1967214373031557,"Banner 54""",0.361789002,Roland,25.0,12.316000001228605,Friday,1200.5004399999998
2024 I Survived my Internship at Clayco need 200 decals  3-21-24_INT30.eps,2024-03-22,0 days 00:19:03,4938.0,91.44,76.44448819,1851.642004,0.6250218703928716,"Intermediate White 30""",0.8683665612,Roland,19.05,11.165999997131644,Friday,3086.3579959999997
24x180 banner Need 1  3-25-24_BAN38.eps,2024-03-26,0 days 00:37:59,7486.379999999999,197.01,182.0133858,4734.85609,0.3675373024078392,"Banner 38""",1.081964035,Roland,37.983333333333334,35.57600000194946,Tuesday,2751.523909999999
24x183.5 Doube D Market Sign 9-25-24_HPW54.eps,2024-09-26,0 days 00:43:58,8151.0,150.94,120.9444882,6156.40776,0.24470521899153477,"High Performance White 54""",0.949036553,Roland,43.96666666666667,40.57399999592258,Thursday,1994.59224
24x36 50percent off Cust App  9-23-24_THP54.eps,2024-09-23,0 days 00:16:01,4699.0,87.01,72.01377953,2592.496063,0.44828770738454987,"Thick Paper/ Heavy Paper 54""",0.9991421152,Roland,16.016666666666666,17.98800000023259,Monday,2106.503937
24X36 Farm Sign 5-30-24_HPW30.eps,2024-05-31,0 days 00:27:04,6138.0,204.58,114.5834646,2934.599818,0.521896412838058,"High Performance White 30""",3.689797817,Roland,27.066666666666666,75.19500001545138,Friday,3203.400182
2A_Clement Ford Windows_PERF60.eps,2024-04-25,0 days 01:05:55,7551.0,125.85,110.8472441,5916.449833,0.21646803959740435,"Perforated 60""",1.145413921,Roland,65.91666666666667,47.06100001122448,Thursday,1634.5501670000003
2B_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 01:05:57,7588.2,126.47,111.4720472,6075.226575,0.19938502213963788,"Perforated 60""",0.8105179189,Roland,65.95,34.19500000288177,Friday,1512.9734250000001
2X - Bommarito white F550 4 4 24_HPW24.eps,2024-04-05,0 days 00:26:03,4838.0,201.58,141.5834646,2786.407176,0.42405804547333603,"High Performance White 24""",1.08361478,Roland,26.05,20.967999993136537,Friday,2051.592824
2X - Bommarito white F550 5 13 24_HPW24.eps,2024-05-13,0 days 00:15:04,2419.0,100.79,70.79173228,1393.203588,0.42405804547333603,"High Performance White 24""",0.5418073902,Roland,15.066666666666666,5.242000000219139,Monday,1025.796412
2x -Event Sponsored BANNER 30x96  3-27-24_BAN38.eps,2024-04-03,0 days 00:39:05,8588.0,226.0,195.9992126,6271.974803,0.26968155530973453,"Banner 38""",3.956709773,Roland,39.083333333333336,172.3359999933323,Wednesday,2316.025197
2x 1.25 McCarthy Bar (510 on each print)_HTV54.eps,2024-05-20,0 days 01:35:55,12955.679999999998,239.92,179.9165354,8318.589766,0.3579194788694997,High Tack Vinyle,2.186816818,Roland,95.91666666666667,126.32800001619086,Monday,4637.090233999999
2x12 Central yard Decal Need 50  7-9-24_HPW24.eps,2024-07-10,0 days 00:16:00,2525.0,105.21,75.20826772,1625.32765,0.35630588118811884,"High Performance White 24""",1.078674814,Roland,16.0,12.175000003838939,Wednesday,899.67235
2x2 Motorcycle Permit 25001-25400  7-2-24_HTV54.eps,2024-07-02,0 days 00:17:56,3872.3399999999997,71.71,41.70826772,2163.033457,0.44141437554553575,High Tack Vinyle,0.832830391,Roland,17.933333333333334,12.50999999819022,Tuesday,1709.3065429999997
2x2 Safety Sticker Need 150 3-22-24_INT30.eps,2024-03-22,0 days 00:10:59,1536.0,51.19,36.19448819,876.7046029,0.4292287741536458,"Intermediate White 30""",0.6384453762,Roland,10.983333333333333,3.887000000102515,Friday,659.2953971
2x4 banner 6-10-24_BAN54.eps,2024-06-10,0 days 00:07:56,2214.54,41.01,26.01377953,1301.047434,0.4124976591075347,"Banner 54""",0.3952384722,Roland,7.933333333333334,3.571000000513128,Monday,913.4925659999999
2x8 Serve Customers First Week  banner  9-24-24_BAN38.eps,2024-09-25,0 days 00:19:02,4312.62,113.49,98.48622047,2561.998826,0.4059298463578984,"Banner 38""",1.175494684,Roland,19.033333333333335,20.91400000261973,Wednesday,1750.6211739999999
3) 1x - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,2024-04-04,0 days 00:36:55,7517.0,139.19,109.1944882,5274.695639,0.29829777318079026,"High Performance White 54""",0.4404333746,Roland,36.916666666666664,16.13300000189356,Thursday,2242.3043610000004
3) mags 80  5-16_MAG24.eps,2024-05-16,0 days 00:20:01,3119.0,129.97,99.97204724,2329.899728,0.2529978428983649,"Magnet 24""",0.6712048511,Roland,20.016666666666666,10.860000000070627,Thursday,789.1002720000001
3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,2024-02-07,0 days 00:36:58,9486.0,175.67,145.6665354,6864.506808,0.2763539101834282,"High Performance White 54""",0.652881864,Roland,36.96666666666667,31.12300000172035,Wednesday,2621.493192
3) Parsons Blewett 2024 WALL  NEW FINAL  5-15-24_HPW60.eps,2024-05-16,0 days 00:35:59,7695.0,128.25,98.2496063,5207.190453,0.32330208538011695,"High Performance White 60""",0.3074026223,Roland,35.983333333333334,11.116000000470311,Thursday,2487.809547
30x72 Schnable banner 5-13-24_BAN38.eps,2024-05-13,0 days 00:15:01,3382.38,89.01,74.01377953,2369.46082,0.299469361810323,"Banner 38""",0.7508543653,Roland,15.016666666666667,12.355000000724425,Monday,1012.9191800000003
34x165 banner New Kids Program 8-22-23_replacement of date_INT30.eps,2024-08-08,0 days 00:05:03,711.0,23.71,8.708267717,221.0905749,0.6890427919831223,"Intermediate White 30""",0.6148430346,Roland,5.05,0.9439999999512125,Thursday,489.9094251
36x36 Were Camping Sign 4-24-24_BAN38.eps,2024-04-25,0 days 00:08:00,2014.3799999999999,53.01,38.01377953,1292.453538,0.3583864325499657,"Banner 38""",0.5656590187,Roland,8.0,5.077000000141828,Thursday,721.9264619999999
3A_Clement Ford Windows_PERF60.eps,2024-04-25,0 days 01:05:00,7551.0,125.85,110.8472441,5985.751181,0.20729026870613168,"Perforated 60""",1.234275161,Roland,65.0,51.306000018296636,Thursday,1565.2488190000004
3B_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 01:07:56,7588.2,126.47,111.4720472,6061.270626,0.20122418676365927,"Perforated 60""",0.9387259457,Roland,67.93333333333334,39.513000003718616,Friday,1526.9293739999994
3x - PFG Hardhat Sticker Need 300  2-22-24-01.jpg_INT30,2024-02-22,0 days 00:26:09,4227.0,140.92,95.91614173,2762.384882,0.34649044665247225,"Intermediate White 30""",4.499711855,Roland,26.15,86.31900001116789,Thursday,1464.6151180000002
3x10 ENVISTA Envy banner final 6-13-24_BAN38.eps,2024-06-13,0 days 00:25:02,5224.620000000001,137.49,122.4862205,4411.191739,0.1556913729610959,"Banner 38""",1.555073641,Roland,25.033333333333335,47.6369999910823,Thursday,813.4282610000009
3x12 Weight Room Decals need 4   4-10-24_HTV54.eps,2024-04-10,0 days 00:05:58,2057.94,38.11,8.111023622,412.7584962,0.7994312291903554,High Tack Vinyle,0.2644451925,Roland,5.966666666666667,0.7579999998862467,Wednesday,1645.1815038
3x18 Phone Num decals 6-19-24_HPW24.eps,2024-06-20,0 days 00:04:57,979.0,40.79,10.79173228,203.5431175,0.7920907890704801,"High Performance White 24""",0.2957211265,Roland,4.95,0.4179999999890407,Thursday,775.4568825
3x4 banner need 2 8-27-24_BAN63.eps,2024-08-28,0 days 00:19:59,5734.89,91.03,76.02755906,3802.425577,0.33696625794043134,"Banner 63""",0.5401857206,Roland,19.983333333333334,14.264000002358443,Wednesday,1932.4644230000004
3x4 forsale sign 6-3-24_INT54.eps,2024-06-03,0 days 00:10:00,2846.0,52.71,37.70826772,1856.597737,0.34764661384399154,"Intermediate White 54""",0.2322958772,Roland,10.0,2.994999999471874,Monday,989.402263
3x6 Miss Kellys banner 9-13-24_BAN38.eps,2024-09-18,0 days 00:12:05,3382.38,89.01,74.01377953,2516.439365,0.2560151830959265,"Banner 38""",0.2802817385,Roland,12.083333333333334,4.898000000361361,Wednesday,865.9406349999999
3x8 Banner 50 OFF 10-16-24_BAN38.eps,2024-10-16,0 days 00:19:57,4294.38,113.01,98.01377953,3272.541181,0.2379479270581551,"Banner 38""",0.9106757822,Roland,19.95,20.69599999853394,Wednesday,1021.8388190000001
4 process fuck YEAH!-Rnd2_HPW36 2 up.eps,2024-04-16,0 days 00:19:55,2750.0,76.4,46.40275591,1262.538605,0.5408950527272728,"High Performance White 36""",0.7055499104,Roland,19.916666666666668,6.185999997460354,Tuesday,1487.461395
4 process fuck YEAH!-Rnd2_HPW36.eps,2024-04-16,0 days 00:27:01,3505.0,97.36,67.36102362,2372.593156,0.3230832650499287,"High Performance White 36""",0.5770091667,Roland,27.016666666666666,9.506999999039467,Tuesday,1132.406844
4) 1x - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,2024-04-04,0 days 00:24:58,6946.0,128.63,98.62519685,4080.598105,0.4125254671753527,"High Performance White 54""",0.5115485392,Roland,24.966666666666665,14.49599999774332,Thursday,2865.401895
4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,2024-02-07,0 days 00:24:57,6345.0,117.5,87.5,4024.965551,0.36564766729708437,"High Performance White 54""",1.005611588,Roland,24.95,28.107999995738922,Wednesday,2320.034449
40x43 Lindell Lease Decal 8-14-24_INT54.eps,2024-08-15,0 days 00:14:01,3224.0,59.69,44.69448819,1842.398304,0.42853650620347394,"Intermediate White 54""",0.8238739674,Roland,14.016666666666667,10.541000001718828,Thursday,1381.601696
42x25 banner Labernth 5-13-24_BAN38.eps,2024-05-13,0 days 00:10:01,2243.14,59.03,44.02755906,1938.425956,0.1358426330946797,"Banner 38""",0.6134626892,Roland,10.016666666666667,8.257999998491952,Monday,304.71404399999983
48x180 banner Need 1  3-25-24_BAN54.eps,2024-03-26,0 days 01:02:00,11448.539999999999,212.01,182.0133858,9103.17735,0.2048612879895602,"Banner 54""",0.8564060328,Roland,62.0,54.139000001307764,Tuesday,2345.362649999999
4A_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 02:12:57,16001.4,266.69,221.6944882,11971.50236,0.2518465659254815,"Perforated 60""",2.430636283,Roland,132.95,202.0719999877509,Friday,4029.8976399999992
4B_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 01:06:00,7588.2,126.47,111.4720472,6047.314676,0.20306335151946442,"Perforated 60""",0.7788501595,Roland,66.0,32.70799999964785,Friday,1540.8853239999999
4x Willow Landscape 22 ft trailers 6 17 24_HPW54.eps,2024-06-19,0 days 01:56:57,39000.0,722.22,602.2220472,31081.29631,0.20304368435897432,"High Performance White 54""",0.2111911915,Roland,116.95,45.584000007454534,Wednesday,7918.7036899999985
4x31.5 banner  Pets Welcome 6-20-24_BAN54.eps,2024-06-21,0 days 01:36:56,21582.18,399.67,384.6661417,9621.954061,0.5541713552106413,"Banner 54""",1.277568353,Roland,96.93333333333334,85.36600001634328,Friday,11960.225939
4x4 Donations 4-10-24_HPW54.eps,2024-04-17,0 days 00:20:01,4304.0,79.71,49.70787402,2447.408274,0.43136424860594796,"High Performance White 54""",0.9517594692,Roland,20.016666666666666,16.175999998457836,Wednesday,1856.591726
4x6 banner no access 10-16-24_BAN63.eps,2024-10-17,0 days 01:04:03,14931.63,237.01,222.0137795,11103.74822,0.2563606103285442,"Banner 63""",0.8630988211,Roland,64.05,66.55299998939738,Thursday,3827.8817799999997
5 x 1.25 McCarthy Bar (510 on each print)_7 9 24_HTV54.eps,2024-07-10,0 days 00:49:56,11343.779999999999,210.07,180.0740157,8325.870998,0.266040861335463,High Tack Vinyle,0.8149806791,Roland,49.93333333333333,47.12100000034052,Wednesday,3017.9090019999985
5) fix - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,2024-04-05,0 days 00:03:57,2103.0,38.94,8.944488189,196.4054662,0.906607006086543,"High Performance White 54""",0.4721660847,Roland,3.95,0.6439999999259179,Friday,1906.5945338
50th Banner 48x48  4-26-24_BAN54.eps,2024-04-29,0 days 00:14:58,3510.5400000000004,65.01,50.01338583,2501.358452,0.2874718840976033,"Banner 54""",0.5526021266,Roland,14.966666666666667,9.598999999750582,Monday,1009.1815480000005
50x53 Lindell Market Place Decals Need 3 3-8-24_INT54.eps,2024-03-11,0 days 00:47:01,11293.0,209.12,164.1248031,8409.069983,0.2553732415655716,"Intermediate White 54""",2.769677984,Roland,47.016666666666666,161.738999984933,Monday,2883.9300170000006
51x348 banner 7720 sqft file saved at half size 4-25-24_BAN54.eps,2024-04-30,0 days 01:25:04,19669.5,364.25,349.2511811,9259.968815,0.5292219520069142,"Banner 54""",1.074327592,Roland,85.06666666666666,69.08499999315308,Tuesday,10409.531185
5B_Clement Ford Windows_PERF60.eps,2024-04-29,0 days 01:07:02,7588.2,126.47,111.4720472,5754.722496,0.24162219024274526,"Perforated 60""",0.8109930589,Roland,67.03333333333333,32.410000001053355,Monday,1833.4775039999995
5X - Project ACDC Hardhat Sticker 1000  2-28-24_INT30.eps,2024-02-28,0 days 01:03:56,9879.0,329.3,254.3031496,6244.543994,0.3678971561898978,"Intermediate White 30""",4.220003899,Roland,63.93333333333333,183.00000001497938,Wednesday,3634.4560060000003
5x F'Caufe and Food Stickers 2x2 Round  800 of each - 4000 total decals 5-14-24_INT54.eps,2024-05-14,0 days 02:14:59,31789.0,588.68,513.6811024,26668.54315,0.16107637390292234,"Intermediate White 54""",3.294578166,Roland,134.98333333333332,610.1499998681866,Tuesday,5120.456849999999
5x for 4000 - F'Caufe and Food Stickers 2x2 Round 164 of each type - 7-16-24_HPW54.eps,2024-07-17,0 days 03:06:06,43781.0,810.75,720.7535433,37419.02687,0.14531356364633058,"High Performance White 54""",1.88352522,Roland,186.1,489.44222789932405,Wednesday,6361.9731299999985
5x_Bridgeton_Sign Final_HPW54.eps,2024-07-03,0 days 01:42:57,24261.0,539.09,419.0885827,19726.20259,0.18691716788260992,"High Performance White 54""",4.548468368,Roland,102.95,623.0833923706575,Wednesday,4534.797409999999
777 Craig Building Long Term Psych Mgmt Directory Strips 2-15-24.eps_RUB36,2024-02-23,0 days 00:02:00,875.0,24.32,9.319291339,86.84919105,0.900743781657143,"Roll-up Banner 36""",1.377836668,Roland,2.0,0.8310000001029683,Friday,788.15080895
9 - Square 18x24 Sample Sign NEW   7-6-2021_HPW54.eps,2024-08-08,0 days 00:44:59,13411.0,248.34,158.3433071,7833.567569,0.4158849027663858,"High Performance White 54""",3.306385234,Roland,44.983333333333334,179.86661208113108,Thursday,5577.432431
9 - Square 18x24 Sample Sign NEW   9-27-2024_HPW30.eps,2024-09-27,0 days 01:35:00,19361.0,645.36,495.3622047,12494.04893,0.3546795656216104,"High Performance White 30""",5.398538166,Roland,95.0,468.399999975531,Friday,6866.951069999999
9 Square 18x24 Sign New Need 10 2024_HPW24.eps,2024-04-22,0 days 02:58:52,33901.0,1221.67,981.6661417,18883.15985,0.4429910666352025,"High Performance White 24""",9.573177447,Roland,178.86666666666667,1255.3600000285826,Monday,15017.84015
9 Square 18x24 Sign New Need 10 2024.eps_HPW36,2024-02-23,0 days 01:07:00,13366.0,371.29,281.2913386,7098.619493,0.4689047214574293,"High Performance White 36""",3.580941904,Roland,67.0,176.52600002107593,Friday,6267.380507
93 Octane - side 2.eps_BAN54,2024-02-23,0 days 00:10:00,3510.0,65.0,50.0,1800.0,0.48717948717948717,"Banner 54""",0.9236,Roland,10.0,11.545,Friday,1710.0
