Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,CORRECT John Burrough States 2024 1-11-24.eps,01/18/2024,0:35:00,0,145.83,145.8334646,3850.405368,Can't Estimate Waste,,0.6922491908,,
Roland,Corvette Club static cling 6-8-12_WSC54.eps,06/12/2024,1:00:58,4430,218.14,203.1385827,10227.38783,Can't Estimate Waste,,0.9527547171,,
Roland,Covenant 109 wall plaque 8 12 24_HPW54.eps,08/12/2024,0:01:59,2152,39.86,9.861023622,258.3005845,0.8799994651,"High Performance White 54""",0.1248777662,"High Performance White 54""",
Roland,Covenant 2nd grade thru 6th grade 8 12 24_HPW54.eps,08/12/2024,0:06:04,2155,39.90,9.902755906,450.8483043,0.7907652621,"High Performance White 54""",0.1022073269,"High Performance White 54""",
Roland,Covenant Men Womem Signs 8 6 24_HPW54.eps,08/06/2024,0:05:59,2254,41.74,11.73622047,602.9460165,0.7324705772,"High Performance White 54""",0.1941666365,"High Performance White 54""",
Roland,Covenant Presb Junior Pelicans & AHU 1 & GJ Grewe dumpster_8 13 24_HPW54.eps,08/13/2024,0:09:58,2981,55.21,25.20826772,1200.538788,0.5973030727,"High Performance White 54""",0.3296120076,"High Performance White 54""",
Roland,Covenant Sample plaque 7 16 24_HPW30.eps,07/16/2024,0:13:07,3770,125.65,35.65314961,620.4544688,0.8354055136,"High Performance White 30""",0.2596792585,"High Performance White 30""",
Roland,Covenant wall signs 8 5 24_HPW54.eps,08/06/2024,0:24:59,5653,104.68,74.68070866,3850.202157,0.3188808056,"High Performance White 54""",0.1313136244,"High Performance White 54""",
Roland,Covert Concrete Mags 4 2 24_MAG24.eps,04/03/2024,0:34:58,4897,204.03,144.0275591,3282.580864,0.329628785,"Magnet 24""",1.356396136,"Magnet 24""",
Roland,Cozad 2x3 Westwood Buisness Park 5 29 24_INT54.eps,05/29/2024,0:14:55,2832,52.44,37.44448819,1843.094367,0.3491903851,"Intermediate White 54""",1.313278389,"Intermediate White 54""",
Roland,Cozad C16 logo 3 1 24 .eps,02/01/2024,0:05:02,0,10.79,10.79173228,300.3670494,Can't Estimate Waste,,0.456881007,,
Roland,Crane Banner_BAN54eps,05/10/2024,0:22:55,5617,104.03,89.02755906,4186.748791,0.2546937973,"Banner 54""",0.4810376979,"Banner 54""",
Roland,CRS van oval logo need 2_HPW24.eps,04/10/2024,0:17:57,2595,108.11,78.11102362,1704.327181,0.3431416134,"High Performance White 24""",0.8792114663,"High Performance White 24""",
Roland,Cynergy Inspection 2024 2''x4'' Decals Need 25  2-5-24.eps,02/05/2024,0:07:00,0,15.49,15.48622047,500.5036712,Can't Estimate Waste,,0.1740646573,,
Roland,CYS17 and CYS18  Need 300 of each 5-6-24_INT30.eps,05/07/2024,0:24:02,3711,123.71,108.7082677,2852.05128,0.2315115411,"Intermediate White 30""",0.4866223863,"Intermediate White 30""",
Roland,CYS17-100 NEW 7-15-24_INT30.eps,07/16/2024,0:06:59,1181,49.19,19.19448819,529.7074189,0.5513492818,"Intermediate White 30""",0.2729355769,"Intermediate White 30""",
Roland,CYS18-300 NEW 7-15-24_INT30.eps,07/16/2024,0:09:04,2079,69.29,54.29173228,1498.280813,0.2792402191,"Intermediate White 30""",0.5118826812,"Intermediate White 30""",
Roland,CYS19-500 NEW 7-15-24_INT30.eps,07/16/2024,0:14:04,3055,101.83,86.83346457,2396.330131,0.215604896,"Intermediate White 30""",0.3924601155,"Intermediate White 30""",
Roland,D1_Clement Ford Windows_PERF60.eps,04/30/2024,1:04:59,7573,126.22,111.2224409,5978.206201,0.2106255491,"Perforated 60""",1.157572651,"Perforated 60""",
Roland,D2_Clement Ford Windows_PERF60.eps,05/01/2024,1:07:56,7573,126.22,111.2224409,5978.206201,0.2106255491,"Perforated 60""",1.060692754,"Perforated 60""",
Roland,D3_Clement Ford Windows_PERF60.eps,05/01/2024,1:05:00,7573,126.22,111.2224409,5992.087112,0.2087926855,"Perforated 60""",0.8136891052,"Perforated 60""",
Roland,D4_Clement Ford Windows_PERF60.eps,05/01/2024,1:05:58,7573,126.22,111.2224409,5992.087112,0.2087926855,"Perforated 60""",0.908061565,"Perforated 60""",
Roland,D5_Clement Ford Windows_PERF60.eps,05/01/2024,1:07:56,7573,126.22,111.2224409,6033.773633,0.2032883128,"Perforated 60""",0.8846523461,"Perforated 60""",
Roland,Daley Design ADJ Final Run 2 28 24_HPW54.eps,03/01/2024,0:30:02,7109,131.64,101.6389764,5254.134849,0.2608663774,"High Performance White 54""",0.3361740897,"High Performance White 54""",
Roland,Damn Fine Hand Pies Final Print 5 24 24_HPW54.eps,05/28/2024,0:23:59,5615,103.99,73.98622047,3605.779624,0.357860143,"High Performance White 54""",0.1827466092,"High Performance White 54""",
Roland,Damn Fine Hand Pies Final Print 5 24 24_TW60.eps,05/28/2024,0:20:55,6239,103.99,73.98622047,3605.779624,0.4220741287,"Translucent White 60""",0.2404539629,"Translucent White 60""",
Roland,Damn Fine Hand Pies Sample 5 17 24_TW24.eps,05/20/2024,0:16:57,4467,131.38,41.37519685,795.8861193,0.8218201317,"Translucent White 24""",1.027503785,"Translucent White 24""",
Roland,Decal for existing signs 15x32 6-11-24_P1_HPW36.eps,06/12/2024,0:06:59,1991,55.32,25.31929134,843.2719567,0.5765632485,"High Performance White 36""",1.216006286,"High Performance White 36""",
Roland,Decal for existing signs 15x32 6-11-24_P2_HPW36.eps,06/12/2024,1:05:01,5792,160.88,100.8795276,3352.814503,0.4210964092,"High Performance White 36""",3.206646498,"High Performance White 36""",
Roland,Decal overlay date change GARDEN SIGN NEW 3-27-24_INT30.eps,03/29/2024,0:08:00,823,27.43,12.43070866,291.4267084,0.6458631917,"Intermediate White 30""",0.3068490204,"Intermediate White 30""",
Roland,Decals  Need 2  45.75x85.5 5-20-24_HPW54.eps,05/21/2024,0:33:02,6914,128.03,98.02795276,4599.131919,0.3347616065,"High Performance White 54""",0.4329269165,"High Performance White 54""",
Roland,Decals  Need 2  45.75x85.5 5-20-24_P2_HPW54.eps,05/24/2024,0:21:03,6330,117.22,87.22204724,4092.15627,0.3535288502,"High Performance White 54""",0.4208285037,"High Performance White 54""",
Roland,Deer Creek 36x276 2-1-24.eps,02/02/2024,0:55:01,0,278.00,278.0003937,77284.10945,Can't Estimate Waste,,0.06434564667,,
Roland,Delware North Decals Need 2 2-16-24.eps,02/20/2024,0:05:03,0,13.71,13.70826772,274.7320347,Can't Estimate Waste,,0.2023207816,,
Roland,Des Peres_5x7 banner 5-2-24_BAN63.eps,05/03/2024,0:23:59,6364,101.01,86.01377953,5334.03956,0.1618243076,"Banner 63""",0.2514177079,"Banner 63""",
Roland,Dewey Been There Done That logo 5 29 24_HPW24.eps,05/30/2024,0:09:58,1630,67.90,37.90275591,595.386637,0.6346572947,"High Performance White 24""",0.3555336765,"High Performance White 24""",
Roland,Dewey Been There Done That logo 5 29 24_HPW54.eps,06/11/2024,0:09:02,2878,53.29,23.29173228,1287.510107,0.5525988979,"High Performance White 54""",0.3514131638,"High Performance White 54""",
Roland,Dinar Restaurant Temp Banner.eps_HPW54,02/23/2024,0:25:01,6915,128.06,98.05551181,4908.21883,0.2902067236,"High Performance White 54""",0.733727677,"High Performance White 54""",
Roland,Dinner Sponsor Banner 2x6  5-1-24_BAN38.eps,05/03/2024,0:13:57,3383,89.01,74.01377953,1925.378143,0.4307864903,"Banner 38""",0.2419472776,"Banner 38""",
Roland,Distinguished Gentlemans Ride_HTV54.eps,04/09/2024,0:05:03,2090,38.69,8.694488189,434.4813745,0.7920646646,High Tack Vinyle,0.2233835687,High Tack Vinyle,
Roland,DNI Somerset date change 3 18 24_INT30.eps,03/18/2024,0:10:02,1547,51.56,21.55590551,532.3035675,0.6558405468,"Intermediate White 30""",0.6730595508,"Intermediate White 30""",
Roland,DNI SommersetOct dATE 9 12 24_INT60.eps,09/12/2024,0:04:57,1262,21.03,6.027952756,294.6980667,0.7664235553,"Intermediate White 60""",0.3171245779,"Intermediate White 60""",
Roland,Doll KUV lOGOS 8 8 24_HPW54.eps,08/08/2024,0:03:59,2099,38.88,8.87519685,327.763815,0.8438670214,"High Performance White 54""",0.1212580467,"High Performance White 54""",
Roland,Doll tranzit 150 #89 logos 2024_HPW54.eps,03/05/2024,0:07:55,2289,42.39,12.38897638,583.6573588,0.7450169707,"High Performance White 54""",0.150499259,"High Performance White 54""",
Roland,Door interior vinyl_HPW30.eps,07/01/2024,0:14:01,3230,107.68,77.68070866,1834.121047,0.432234715,"High Performance White 30""",0.8257862818,"High Performance White 30""",
Roland,Door Logo Final with CUT Need 2  5-13-24_HPW24.eps,05/13/2024,0:14:00,2961,123.36,63.36141732,1093.857539,0.6305376636,"High Performance White 24""",0.9825923043,"High Performance White 24""",
Roland,Door Logo Final with CUT Need 2  5-29-24_HPW24.eps,05/29/2024,0:11:59,2244,93.52,63.51889764,1096.576245,0.5114284063,"High Performance White 24""",0.4900780977,"High Performance White 24""",
Roland,door logo_HPW54.eps,09/17/2024,0:17:02,8508,157.56,37.55590551,915.417804,0.8924052926,"High Performance White 54""",1.507613238,"High Performance White 54""",
Roland,Door Perf Print.eps,01/24/2024,0:22:03,0,71.35,71.34724409,1908.53878,Can't Estimate Waste,,0.1920212489,,
Roland,DOS_door vinyl_HPW24.eps,05/17/2024,0:13:57,2687,111.97,51.97165354,1187.388593,0.5581513432,"High Performance White 24""",0.4385287201,"High Performance White 24""",
Roland,Drops Print Clear_Clear Vinyl.eps,08/07/2024,0:09:00,1094,30.58,15.58346457,428.3244076,Can't Estimate Waste,,0.8088822254,,
Roland,Drops Print Clear_HPC54.eps,08/16/2024,0:07:04,1635,25.94,10.94448819,485.5086991,0.7029624469,"High Preformance Clear 54""",0.465359324,"High Preformance Clear 54""",
Roland,Dry Erase boards FINAL 9-16-24_HPC54.eps,09/17/2024,0:06:57,2562,47.44,17.44448819,540.5318891,0.7890197538,"High Preformance Clear 54""",0.04821917175,"High Preformance Clear 54""",
Roland,DUDE 2 x 1.5_HTV54.eps,07/25/2024,0:29:00,6113,113.21,83.20787402,4336.047488,0.290710329,High Tack Vinyle,0.8704332713,High Tack Vinyle,
Roland,DUDE 2 x 1.5_p2_HTV54.eps,07/25/2024,0:06:57,1956,36.22,6.222047244,324.2372509,0.8342337335,High Tack Vinyle,0.6475258454,High Tack Vinyle,
Roland,Dwight Davis ERB 5 16 24_HPW24.eps,06/17/2024,0:06:02,1227,51.13,21.12519685,450.9564167,0.6324737731,"High Performance White 24""",1.09495282,"High Performance White 24""",
Roland,E_Clement Ford Windows_PERF60.eps,05/01/2024,1:07:02,7603,126.72,111.7224409,6130.746954,0.1936778116,"Perforated 60""",0.8405005195,"Perforated 60""",
Roland,EBT BANNER 3x8  10-8-24_BAN38.eps,10/08/2024,0:17:02,4295,113.03,98.02755906,3530.342899,0.1780432906,"Banner 38""",0.2874417667,"Banner 38""",
Roland,Eclipse Logo Final NEED 2  2-6-24.eps,02/12/2024,0:12:59,2746,61.53,31.52755906,896.7728687,Can't Estimate Waste,,1.665491957,,
Roland,Edward Jones NEW Addons  4-3-24_RUB36.eps,04/04/2024,0:02:55,900,25.00,10,247.7755906,0.7246937883,"Roll-up Banner 36""",0.3196440772,"Roll-up Banner 36""",
Roland,ELCO 32x16 Magnet - Cadillac LYRIQ Lease  need 10 5-3-24_V4_MAG24.eps,05/07/2024,0:13:01,2292,95.51,65.51377953,1147.393891,0.4994640667,"Magnet 24""",0.2600397322,"Magnet 24""",
Roland,ELCO 32x16 Magnet Cadillac LYRIQ Lease need 10 5-3-24_v3_MAG24.jpg,05/06/2024,0:59:56,9192,383.00,322.9992126,5652.48622,0.3850633332,"Magnet 24""",0.531113546,"Magnet 24""",
Roland,Elco Blazer EV Lease May 2024 Need 4 32x16 MAGS 5-17-24_2_MAG24.eps,05/20/2024,0:18:01,3036,126.49,96.48622047,1545.109062,0.4910153532,"Magnet 24""",0.2344844185,"Magnet 24""",
Roland,Elevate logo for monument Test_TW30.eps,04/19/2024,0:03:02,1364,45.47,15.47244094,286.8797663,0.7897042983,"Translucent White 30""",1.52342567,"Translucent White 30""",
Roland,Elevation Church Easter Overlay 3 2 24.eps,02/05/2024,0:04:57,0,6.57,6.569291339,254.8316046,Can't Estimate Waste,,0.5170473271,,
Roland,Elidi Rea_p2_THP54.eps,08/28/2024,0:04:58,1242,23.00,8,64,0.9484702093,"Thick Paper/ Heavy Paper 54""",0.3015,"Thick Paper/ Heavy Paper 54""",
Roland,Elidi Rea_THP54.eps,08/28/2024,0:04:57,1243,23.01,8.013779528,64.22066232,0.9483235023,"Thick Paper/ Heavy Paper 54""",0.3049485834,"Thick Paper/ Heavy Paper 54""",
Roland,English Sweep QR_HPW24.eps,07/11/2024,0:05:57,1061,44.21,14.20826772,312.3805127,0.7055787216,"High Performance White 24""",0.4586713772,"High Performance White 24""",
Roland,Enviromaster Chevy Logos 2 30 24.eps,01/30/2024,0:31:04,0,107.96,107.9582677,3489.134707,Can't Estimate Waste,,0.4335103477,,
Roland,Equip-Decals 6x12 2-29-24_HPW30.eps,02/29/2024,0:05:59,1311,43.69,13.69448819,353.1991816,0.7305539774,"High Performance White 30""",0.4505106702,"High Performance White 30""",
Roland,exterior window logos_HPW54.eps,07/09/2024,0:47:01,10466,193.82,163.8192913,7965.680793,0.2389167958,"High Performance White 54""",0.4397364257,"High Performance White 54""",
Roland,exterior window logos_reprint magic_HPW24.eps,07/09/2024,0:26:58,4723,196.78,136.7779528,2830.495878,0.4006578145,"High Performance White 24""",1.11964551,"High Performance White 24""",
Roland,EZ Storage_Stickers_HPW24.eps,04/26/2024,0:04:01,845,35.19,5.194488189,89.459721,0.8940888597,"High Performance White 24""",0.796783169,"High Performance White 24""",
Roland,F_Clement Ford Windows_PERF60.eps,05/01/2024,0:39:01,5025,83.75,68.75,4726.5625,0.05939054726,"Perforated 60""",0.4543716496,"Perforated 60""",
Roland,FACP 6x15 Decal 7-25-24.eps,07/29/2024,0:06:00,0,16.67,16.66653543,444.8980716,Can't Estimate Waste,,0.6952423931,,
Roland,Falcon Banner 2x3 4-25-24_BAN54.eps,04/29/2024,0:06:00,2215,41.03,26.02755906,989.764539,0.5532521708,"Banner 54""",0.790588033,"Banner 54""",
Roland,Fall Protection need 100 .375x2.5  5-6-24_INT54.eps,05/06/2024,0:09:56,2050,37.96,22.95826772,1164.806694,0.4317313295,"Intermediate White 54""",0.8678521555,"Intermediate White 54""",
Roland,fast pitch turf_BAN63.eps,08/29/2024,3:37:09,22910,475.11,400.1070866,20010.86762,0.1265512823,"Banner 63""",1.721381434,"Banner 63""",
