" Pring Log -
  Printer","------------------------------------------------------------------
File Name",Date,Total Print Time,Area of Print (in),Total Print Lenght,Material,
HP,P1_JE_Foster_Hiring_Trailer_3x2_9_17_24_CORPL23,09/18/2024,0:11:54,1728,72,Corragated Plastic 2' x 3' sheet,
Roland,3x6 Miss Kellys banner 9-13-24_BAN38.eps,09/18/2024,0:12:05,3536,104.01,"Banner 38""",
HP,St_Dominic_Wislepig_Billboard_9_12_24_ALMS063,09/18/2024,,2971.4,83,Aluminum .063,
HP,P4_JE_Foster_Hiring_Trailer_3x2_9_17_24_CORPL1824,09/18/2024,0:09:51,864,48,"Corragated Plastic 18"" x 24"" sheet",
HP,P2_JE_Foster_Hiring_Trailer_3x2_9_17_24_CORPL23,09/18/2024,0:11:54,1728,72,Corragated Plastic 2' x 3' sheet,
Roland,New Truck door layouts  LOGO FINAL   9-11-24_HPW54.eps,09/18/2024,0:18:00,5157,104.53,"High Performance White 54""",
HP,Beam_14x10__ELEMENT__Sign_9-16-24_PVC3,09/18/2024,0:04:19,140,14,PVC 3mm 4' x 8' sheet,
HP,Hazelton_Larry_Elden_CORPL1824,09/18/2024,0:07:51,432,24,"Corragated Plastic 18"" x 24"" sheet",
HP,San_Luis_Hills_Riders_NEW_9-18-24_CORPL1824~1,09/18/2024,,867.6,48.2,"Corragated Plastic 18"" x 24"" sheet",
Roland,HOCKEY Banner 34x120_BAN38.eps,09/18/2024,0:23:57,5192,152.01,"Banner 38""",
HP,P3_JE_Foster_Hiring_Trailer_3x2_9_17_24_CORPL23,09/18/2024,0:08:52,1732.8,72.2,Corragated Plastic 2' x 3' sheet,
Roland,96x24 banner GIDDO Simon Min 9-18-24_BAN38.eps,09/18/2024,0:19:56,3330,128.01,"Banner 38""",
HP,St_Dominic_Wislepig_Billboard_9_12_24_P2_ALMS063,09/18/2024,,2971.4,83,Aluminum .063,
HP,4x4_DANGER__Overhead_Power_Lines___9-18-24_ALMS3,09/18/2024,0:42:41,9216,192,Aluminum 3mm acm 4' x 8' sheet,
Roland,Wash U 4X4 reflect accredited 9 5 24_RFVW48.eps,09/17/2024,0:02:58,1673,40.39,"Reflective White Vinyl 48""",
HP,Hangar47_48x32_9-12-24_+_Rehnquist_Const_Hours_2x2_9_13_24_ALMS3,09/17/2024,0:16:23,2692.8,56.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,AJ Brown_CLAYMONT BANNERS_P2_BAN38.eps,09/17/2024,0:25:56,4591,176.49,"Banner 38""",
HP,Bank_Entrance_P2_CORPL23,09/17/2024,0:04:11,864,36,Corragated Plastic 2' x 3' sheet,
Roland,Dry Erase boards FINAL 9-16-24_HPC54.eps,09/17/2024,0:06:57,1470,47.44,"High Preformance Clear 54""",
HP,KX_yard_signs_CORPLS,09/17/2024,0:36:36,4320,90,Corragated Plastic 4' x 8' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P5_CORPLS,09/17/2024,0:18:00,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P4_CORPLS,09/17/2024,0:14:58,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P3_CORPLS,09/17/2024,0:14:57,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P1_CORPLS,09/17/2024,0:16:04,4560,96,Corragated Plastic 4' x 8' sheet,
Roland,door logo_HPW54.eps,09/17/2024,0:17:02,3840,157.56,"High Performance White 54""",
HP,Bank_Entrance_P1_CORPL23,09/17/2024,0:08:22,864,36,Corragated Plastic 2' x 3' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P2_CORPLS,09/17/2024,0:16:17,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
HP,All_Fall_Festival_Signs_NEW_2024_P6_CORPLS,09/17/2024,0:16:29,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
HP,Steck_Roofing_18x24_yard_signs_9-16-24_back_CORPL1824,09/16/2024,,11076,461.5,"Corragated Plastic 18"" x 24"" sheet",
Roland,True Fitness Banner logos need 8_HPW48.eps,09/16/2024,0:04:00,1494,38.94,"Water Damaged HP White 54"" to 48""",
Roland,12x24 Keeley Mags  3-13-23_MAG24.eps,09/16/2024,0:06:02,1204,54.03,"Magnet 24""",
Roland,Higgins Strong Decals 1-1.5-2 9-16-24_v2_INT30.pdf,09/16/2024,0:20:56,2051,94.85,"Intermediate White 30""",
Roland,Samsung Warehouse  taylor TX number 0501-1001_R2P_INT54.eps,09/16/2024,0:19:01,4297,83.46,"Intermediate White 54""",
HP,Steck_Roofing_18x24_yard_signs_9-16-24_CORPLS & Back,09/16/2024,,8640,180,Corragated Plastic 4' x 8' sheet,
Roland,Integrate 4x4 Cons Proj 9 6 24_P4_INT54.eps,09/13/2024,0:28:02,7831,159.28,"Intermediate White 54""",
Roland,CLS Logo  9-12-24_ + seven holy elevator_HPW54.pdf,09/13/2024,0:10:02,2388,51.35,"High Performance White 54""",
HP,Table_Banner_throw_topper_9-12-24_BAN98,09/13/2024,,4630.8,68.1,"16 oz Banner 98""",
Roland,Sausage Banner Date Change Decal_INT60.eps,09/12/2024,0:09:58,3051,54.13,"Intermediate White 60""",
Roland,Integrate Fire arm Tobacco 2x2 signs 9 6 24_RGB_INT54.eps,09/12/2024,0:26:00,7426,148.19,"Intermediate White 54""",
Roland,Integrate Fire arm Tobacco 2x2 signs 9 6 24_INT54.eps,09/12/2024,0:37:59,11688,233.25,"Intermediate White 54""",
Roland,Fretfree Kitchen Logo_240ct_INT60.eps,09/12/2024,0:18:59,3188,55.21,"Intermediate White 60""",
HP,18x24_yard_signs_8-28-23_CORPLS,09/12/2024,1:45:15,12960,270,Corragated Plastic 4' x 8' sheet,
Roland,DNI SommersetOct dATE 9 12 24_INT60.eps,09/12/2024,0:04:57,1761,36.03,"Intermediate White 60""",
HP,18x24_PLEASE_HELP_US__need_4__9-11-24_CORPL1824,09/12/2024,0:26:32,1728,72,"Corragated Plastic 18"" x 24"" sheet",
HP,12x18 Reserved first congregational church of STL 9-3-24 + Smith Mgmt Villas Shady Creek 9-10-24_ALMS08,09/11/2024,0:20:28,4320,90,Aluminum .08 4' x 8' sheet,
Roland,Integrate 4x4 Cons Proj 9 6 24_P2_INT54.eps,09/11/2024,0:21:57,6358,129.32,"Intermediate White 54""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P3_INT54.eps,09/11/2024,0:32:57,8802,177.38,"Intermediate White 54""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P1_INT54.eps,09/11/2024,0:21:01,6343,129.01,"Intermediate White 54""",
Roland,Sausage Banner Date Change Decal & Oct 1st  9-10-24_INT60.eps,09/11/2024,0:10:00,3280,58.19,"Intermediate White 60""",
Roland,Mo Amer water switch salt tanks 9 10 24_HPW54.eps,09/11/2024,0:09:01,2171,51.71,"High Performance White 54""",
Roland,Mo Amer water switch salt tanks 9 10 24_P2_HPW54.eps,09/11/2024,0:05:58,1730,41.71,"High Performance White 54""",
Roland,Webster U Office of the Dean 9 10 24 [Converted]_HPW54.eps,09/11/2024,0:06:01,1616,48.83,"High Performance White 54""",
Roland,Sybergs Now Hiring Twisted Tavern 9 10 24_BAN38.eps,09/11/2024,0:36:00,7296,226.14,"Banner 38""",
Roland,Typco Properites _9 11 24_HPW54.eps,09/11/2024,0:03:57,1432,33.71,"High Performance White 54""",
HP,8.5x11_Signs_Notice_9-10-24_ALMS3,09/10/2024,0:05:55,187,17,Aluminum 3mm acm 4' x 8' sheet,
HP,7.2-PRINT_v3_ALMS3-4X10,09/10/2024,1:30:28,17280,144,Aluminum 3mm acm 4' x 8' sheet,
HP,St_Dominic_John_Eckhard_9_10_24_PVC3,09/10/2024,,55.25,8.5,PVC 3mm 4' x 8' sheet,
HP,2.5x4.5_AC_HEAT_PVC_9-10-24_PVC3,09/10/2024,0:05:12,371.25,13.5,PVC 3mm 4' x 8' sheet,
HP,50th_NIX_Sign_18x24_9-9-24_CORPL1824,09/09/2024,0:06:26,432,18,"Corragated Plastic 18"" x 24"" sheet",
HP,3x5_Coro_Signs_need_8_SF__9-9-24_CORPLS,09/09/2024,1:38:37,17308.8,480.8,Corragated Plastic 4' x 8' sheet,
HP,18x24_and_2x3_signs_9-6-24_CORPL1824,09/09/2024,0:10:50,1296,54,"Corragated Plastic 18"" x 24"" sheet",
HP,All_Sponsors_18x24__2024_P3_9-6-24_CORPL1824,09/06/2024,0:07:02,432,18,"Corragated Plastic 18"" x 24"" sheet",
HP,All_Sponsors_18x24__2024___9-6-24_CORPLS,09/06/2024,0:17:30,4353.6,90.7,Corragated Plastic 4' x 8' sheet,
HP,No_Smoking_-_Smoking_signs_12_ea_10x14__9-5-24_ALMS08,09/06/2024,0:17:03,3364,84.1,Aluminum .08 4' x 8' sheet,
HP,All_Sponsors_18x24__2024_P1_9-6-24_CORPL1824,09/06/2024,0:07:02,432,18,"Corragated Plastic 18"" x 24"" sheet",
HP,All_Sponsors_18x24__2024_P2_9-6-24_CORPL1824,09/06/2024,0:07:02,432,18,"Corragated Plastic 18"" x 24"" sheet",
HP,Lopez_Zumwalt_Basketball_9_4_24830_CORPL1824,09/05/2024,0:22:50,11076,461.5,"Corragated Plastic 18"" x 24"" sheet",
HP,St_Dominic_Slide_Inns_9_5_24_PVC3,09/05/2024,,768.4,17,PVC 3mm 4' x 8' sheet,
HP,4x4_DANGER__Overhead_Power_Lines___9-5-24_ALMS3,09/05/2024,0:39:11,9216,192,Aluminum 3mm acm 4' x 8' sheet,
HP,Lopez_Zumwalt_Basketball_9_4_24830_CORPLS,09/04/2024,1:15:00,8640,180,Corragated Plastic 4' x 8' sheet,
HP,MSD_KEELEY_-_Cedarhurst_Bank_Stabilization__4x6__8-21-24_ALMS6,09/04/2024,0:15:23,3460.8,72.1,Aluminum 6mm acm 4' x 8' sheet,
HP,Blu_Sky_Dinner_Sponsor_9_3_24_STY~1,09/04/2024,0:10:21,1043.28,50.4,Styrene,
Roland,AMA Mag Layout 12x24 NEW with Figure  8-28-24_MAG24.eps,09/03/2024,0:05:59,1264,52.64,"Magnet 24""",
HP,Blu_Sky_Golf_balls_9_3_24_P2_CORPLS~1,09/03/2024,0:11:51,3245.7,69.8,Corragated Plastic 4' x 8' sheet,
HP,Blu_Sky_Coro_Signs_9_3_24_P1_CORPLS,09/03/2024,0:15:38,4320,90,Corragated Plastic 4' x 8' sheet,
Roland,12x23.5 Rest in Heaven Mag 9-03-24_MAG24.eps,09/03/2024,0:04:05,977,41.56,"Magnet 24""",
HP,4x6_coro_final_sign_8-26-24_CORPLS,09/03/2024,0:15:24,3460.8,72.1,Corragated Plastic 4' x 8' sheet,
HP,Blu_Sky_Coro_Signs_9_3_24_P2_CORPLS,09/03/2024,0:12:58,3360,84,Corragated Plastic 4' x 8' sheet,
Roland,AMA Mag Layout 12x24 NEW with Figure  8-28-24_P2_MAG24.eps,09/03/2024,0:11:13,2977,123.98,"Magnet 24""",
HP,44.5x28.5__card_Entry_Exit__8-26-24_+_rehn_quist_tree_recycle_8-27-24_ALMS3,09/03/2024,0:15:11,2336.25,52.5,Aluminum 3mm acm 4' x 8' sheet,
HP,Blu_Sky_Golf_balls_9_3_24_P1_CORPLS~2,09/03/2024,0:14:53,4468.8,93.1,Corragated Plastic 4' x 8' sheet,
Roland,NAIC4 Various Set #2  8-1-24_P3_INT60.eps,08/30/2024,0:29:00,7639,129.93,"Intermediate White 60""",
Roland,NAIC4 Various Set #1  8-1-24_P3_INT60.eps,08/30/2024,0:24:00,6509,110.47,"Intermediate White 60""",
Roland,NAIC4 Various Set #1  8-1-24_P5_INT60.eps,08/30/2024,0:24:56,6495,110.47,"Intermediate White 60""",
Roland,NAIC4 Various Set #1  8-1-24_P2_INT60.eps,08/30/2024,0:24:02,6499,110.54,"Intermediate White 60""",
Roland,NAIC4 Various Set #2  8-1-24_P1_INT60.eps,08/30/2024,0:26:01,6517,110.77,"Intermediate White 60""",
Roland,NAIC4 Various Set #1  8-1-24_P4_INT60.eps,08/30/2024,0:31:56,6469,109.85,"Intermediate White 60""",
Roland,NAIC4 Various Set #1  8-1-24_P1_INT60.eps,08/30/2024,0:22:00,6481,110.24,"Intermediate White 60""",
HP,Private_Event_CORPL23~1,08/30/2024,0:12:50,1728,48,Corragated Plastic 2' x 3' sheet,
HP,12x18_Need_7_Sponsor_Signs_8-28-24_+_Republic_services_Golf_8_22_24_CORPLS,08/30/2024,0:18:06,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
Roland,St Dominic Revese Mission Statement sign 8 27 24_Mirrored_2_HPC54.pdf,08/30/2024,0:11:01,1971,47.35,"High Preformance Clear 54""",
HP,RMA_-__2x3_signs_DF_8-28-24_P1_CORPL23,08/30/2024,0:05:46,864,24,Corragated Plastic 2' x 3' sheet,
HP,RMA_-__2x3_signs_DF_8-28-24_P2_CORPL23,08/30/2024,0:19:19,864,24,Corragated Plastic 2' x 3' sheet,
HP,RMA_-__2x3_signs_DF_8-28-24_P3_CORPL23,08/30/2024,0:21:47,864,24,Corragated Plastic 2' x 3' sheet,
HP,RMA_-__2x3_signs_DF_8-28-24_P4_CORPL23,08/30/2024,0:15:21,864,24,Corragated Plastic 2' x 3' sheet,
Roland,Real Inpact Elevate logo 8 27 24_INT54.eps,08/30/2024,0:25:03,3886,85.65,"Intermediate White 54""",
Roland,NAIC4 Various Set #2  8-1-24_P2_INT60.eps,08/30/2024,0:24:57,6499,110.47,"Intermediate White 60""",
Roland,H car carbon fiber final_HPW54.eps,08/30/2024,0:22:01,4285,91.54,"High Performance White 54""",
HP,Republic_services_Golf_8_22_24_CORPLS~1,08/30/2024,0:43:39,3460.8,72.1,Corragated Plastic 4' x 8' sheet,
HP,AJ_Brown_Construction_Entrance_ALMS3,08/29/2024,0:36:41,4608,96,Aluminum 3mm acm 4' x 8' sheet,
HP,Bridal_Company_6mm_ACM_wall_sign_ALMS6~1,08/29/2024,0:13:13,2844.45,94.5,Aluminum 6mm acm 4' x 8' sheet,
Roland,McCarthy_Crane DUDE_P2_TW60.eps,08/29/2024,0:51:03,5859,117.21,"Translucent White 60""",
Roland,St Dominic Revese Mission Statement sign 8 27 24_V3_HPC54.pdf,08/29/2024,0:11:02,1966,47.22,"High Preformance Clear 54""",
HP,McCarthy_Construction_Site_No_Trespassing_ALMS3,08/29/2024,1:26:53,18451.2,384.4,Aluminum 3mm acm 4' x 8' sheet,
HP,McCarthy_Construction_Site_No_Trespassing_ALMS3~1,08/29/2024,2:39:16,27676.8,576.6,Aluminum 3mm acm 4' x 8' sheet,
Roland,McCarthy_Crane DUDE_P1_TW60.eps,08/29/2024,0:49:59,5859,117.21,"Translucent White 60""",
Roland,Caplaco Urgent Vet_P1_HPW24.eps,08/29/2024,0:11:02,1455,67.71,"High Performance White 24""",
Roland,St Dominic Revese Mission Statement sign 8 27 24_2_HPC54.pdf,08/29/2024,0:10:58,1971,47.35,"High Preformance Clear 54""",
HP,Elliot_Barnes_Roundup_club_2024_P2_ALMS063~1,08/29/2024,0:18:26,3600,75,Aluminum .063,
Roland,fast pitch turf_BAN63.eps,08/29/2024,3:37:09,26013,520.11,"Banner 63""",
HP,AJ_Brown_Construction_Entrance_Hard_Hat_PPE_ALMS3~1,08/28/2024,0:36:01,4608,96,Aluminum 3mm acm 4' x 8' sheet,
Roland,Hesse LOGO Final 5in NEW_HPW36.eps,08/28/2024,0:03:56,225,36.22,"High Performance White 36""",
HP,AJ_Brown_4x8_ALMS3,08/28/2024,1:13:52,9216,192,Aluminum 3mm acm 4' x 8' sheet,
Roland,3x4 banner need 2 8-27-24_BAN63.eps,08/28/2024,0:19:59,5303,106.03,"Banner 63""",
HP,mo_water_diamond_carbon_+_Elliot_Barnes_Roundup_club_2024_ALMS063,08/28/2024,0:37:32,7488,156,Aluminum .063,
HP,mo_water_diamond_carbon_+_Elliot_Barnes_Roundup_club_2024_P2_ALMS063,08/28/2024,0:41:00,8736,182,Aluminum .063,
Roland,Tuck Point + Gateway_interior wall logo new need 2_HPW36.eps,08/28/2024,0:15:00,2875,81.03,"High Performance White 36""",
Roland,Elidi Rea_p2_THP54.eps,08/28/2024,0:04:58,304,38.00,"Thick Paper/ Heavy Paper 54""",
HP,Elidi_Rea_PRINT_PVC3,08/28/2024,0:02:05,162,16.2,PVC 3mm 4' x 8' sheet,
HP,AJ_Brown_No_Access_ALMS3~1,08/28/2024,1:16:47,9216,192,Aluminum 3mm acm 4' x 8' sheet,
HP,AJ_Brown_CONTACT_ALMS3,08/28/2024,0:16:59,1152,24,Aluminum 3mm acm 4' x 8' sheet,
HP,Elliot_Barnes_Roundup_club_2024_ALMS063,08/28/2024,0:19:27,4612.8,96.1,Aluminum .063,
Roland,Elidi Rea_THP54.eps,08/28/2024,0:04:57,305,38.01,"Thick Paper/ Heavy Paper 54""",
Roland,Caplaco Clover Moon_HPW36.eps,08/28/2024,0:14:01,2399,72.68,"High Performance White 36""",
HP,AJ_Brown_911_ALMS3~1,08/27/2024,0:37:27,4032,84,Aluminum 3mm acm 4' x 8' sheet,
Roland,PR23K_sample_AJB_v4.eps,08/27/2024,0:14:56,137,34.01,,
Roland,AJ Brown_4x10 banner_BAN63.eps,08/27/2024,0:04:59,1876,37.50,"Banner 63""",
HP,Color_Chart_MAX_SATURATION_CLEAR_SHEET_[Converted]_ALMS3,08/27/2024,0:08:40,307.05,26.7,Aluminum 3mm acm 4' x 8' sheet,
HP,Color_Chart_[Converted]_ALMS3~2,08/27/2024,0:24:35,1920,40,Aluminum 3mm acm 4' x 8' sheet,
HP,Construction_Trailer_ALMS3~1,08/27/2024,0:36:52,4608,96,Aluminum 3mm acm 4' x 8' sheet,
HP,Color_Chart_ALMS3,08/26/2024,0:13:06,263.9,5.8,Aluminum 3mm acm 4' x 8' sheet,
HP,aj_bridal_street_sign_overlays_v2_ALMS3~1,08/26/2024,0:15:13,2184,45.5,Aluminum 3mm acm 4' x 8' sheet,
HP,DO_NOT_ENTER_18x24_8-26-24_CORPLS,08/26/2024,0:06:23,432,18,Corragated Plastic 4' x 8' sheet,
HP,DO_NOT_ENTER_18x24_Need_8_single_face_8-26-24_CORPLS,08/26/2024,0:13:20,2592,54,Corragated Plastic 4' x 8' sheet,
HP,Parking_Reflective_08.23.24_ALMR,08/23/2024,0:02:05,860.4,23.9,Reflective Aluminum 4' x 8' sheet,
HP,Leathers_Fill_Site_Closed_8_23_24_CORPL23,08/23/2024,0:06:39,864,24,Corragated Plastic 2' x 3' sheet,
HP,Fallon_IL_23x29__8-22-24_PVC3,08/23/2024,0:07:35,667,23,PVC 3mm 4' x 8' sheet,
HP,Johnson_Group_4x6__for_lease_2024_ALMS6,08/23/2024,0:18:06,3456,72,Aluminum 6mm acm 4' x 8' sheet,
HP,Partner_Tailgate_24x36_need_4__8-22-24_CORPLS,08/22/2024,0:04:34,1728,36,Corragated Plastic 4' x 8' sheet,
HP,MUM_Sale_sign_18x24_+_PS_partners__2-weekend_4-TODAY__8-21-24_CORPLS,08/22/2024,0:15:59,4320,90,Corragated Plastic 4' x 8' sheet,
HP,MUM_Sale_sign_18x24__2-weekend_4-TODAY__8-21-24_CORPLS,08/22/2024,0:14:36,2592,54,Corragated Plastic 4' x 8' sheet,
HP,Sheet_01_PVC6,08/22/2024,,4608,96,PVC 6mm 4' x 8' sheet,
HP,Sheet_02_PVC6,08/22/2024,,4608,96,PVC 6mm 4' x 8' sheet,
HP,Sheet_04_PVC6,08/22/2024,,4608,96,PVC 6mm 4' x 8' sheet,
HP,Sheet_03_PVC6,08/22/2024,,4608,96,PVC 6mm 4' x 8' sheet,
HP,P1_Commercial_Dev_Co_8x8_Metro_Fill_Sign_8-16-24_ALMS6,08/21/2024,0:20:54,4612.8,96.1,Aluminum 6mm acm 4' x 8' sheet,
HP,8-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/21/2024,0:21:07,4612.8,96.1,Aluminum 3mm acm 4' x 8' sheet,
HP,Bramblett_Hills_Pool_Rules_8_12_24_ALMS063,08/21/2024,0:19:34,4032,84,Aluminum .063,
Roland,Community Banner 48x24 print ready_P2_   DOUBLE FACE  Need 9  8-14-24_BAN63.eps,08/21/2024,1:06:05,19750,395.00,"Banner 63""",
HP,P2_Commercial_Dev_Co_8x8_Metro_Fill_Sign_8-16-24_ALMS6,08/21/2024,0:17:57,4608,96,Aluminum 6mm acm 4' x 8' sheet,
HP,24x22_Gina_Bundy_SAMPLE_+_only_sign_2x3_1_+vianey_ticket_scan_CORPLS~1,08/21/2024,0:16:20,4608,96,Corragated Plastic 4' x 8' sheet,
Roland,Pole Banners New 8.14.24_BAN63.eps,08/21/2024,0:18:59,4590,102.00,"Banner 63""",
HP,Facility_Solutions_4x4_double_face_8_20_24_ALMS6~1,08/21/2024,0:32:49,2308.8,48.1,Aluminum 6mm acm 4' x 8' sheet,
HP,3_2x-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/21/2024,0:58:31,8360,190,Aluminum 3mm acm 4' x 8' sheet,
HP,No_Trespassing_4x4_ALMS3,08/20/2024,0:42:49,9216,192,Aluminum 3mm acm 4' x 8' sheet,
HP,7-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/20/2024,0:19:14,3892.8,81.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,Community Banner 48x24 print ready   DOUBLE FACE  Need 9  8-14-24_BAN63.eps,08/20/2024,1:43:08,25600,512.00,"Banner 63""",
Roland,Community Banner 48x24 print ready_Pole Banners New 8.14.24 Back_BAN63.eps,08/20/2024,0:14:00,4819,79.00,"Banner 63""",
Roland,Community Banner 48x24 print ready_Pole Banners New 8.14.24-BAN63.eps,08/20/2024,0:16:58,4819,79.00,"Banner 63""",
Roland,Side C-D_HPW54.eps,08/20/2024,0:26:04,6866,132.93,"High Performance White 54""",
Roland,Side A-B_HPW54.eps,08/20/2024,0:28:58,6868,132.96,"High Performance White 54""",
Roland,Quest Church Shuttle Logo 8 19 24_HPW54.eps,08/20/2024,0:18:59,5214,104.10,"High Performance White 54""",
HP,6-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/20/2024,0:12:40,2508,57,Aluminum 3mm acm 4' x 8' sheet,
Roland,sample print 3 trans white_TW24.eps,08/20/2024,0:08:05,992,48.57,"Translucent White 24""",
HP,1-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/20/2024,0:21:20,4608,96,Aluminum 3mm acm 4' x 8' sheet,
HP,2-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/20/2024,0:19:30,4612.8,96.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,Side E-F_HPW54.eps,08/20/2024,0:26:02,6881,133.21,"High Performance White 54""",
HP,5-Various_Signs_McCarthy_8-15-24_No_Tres_14x10_ALMS3,08/20/2024,0:19:26,4612.8,4612.8,Aluminum 3mm acm 4' x 8' sheet,
HP,2x3_Const_RUSH_Signs_5-SF__8-19-24_CORPLS,08/20/2024,0:18:05,4603.2,4603.2,Corragated Plastic 4' x 8' sheet,
Roland,All Banners 36x96  8-16- set 2.eps,08/19/2024,0:40:58,8470,228.85,,
Roland,All Banners 36x96  8-16- set 1.eps,08/19/2024,0:40:59,8412,227.26,,
Roland,PBR Color match.eps,08/19/2024,0:06:01,1119,106.04,,
Roland,All Banners 36x96  8-16- set 4.eps,08/19/2024,0:20:03,4738,128.01,,
Roland,banner.eps,08/19/2024,0:29:59,28680,185.01,,
Roland,All Banners 36x96  8-16- set 3.eps,08/19/2024,0:40:59,8446,228.18,,
Roland,Drops Print Clear_HPC54.eps,08/16/2024,0:07:04,1816,40.94,"High Preformance Clear 54""",
Roland,Community banner_144x48_printready Need 1  8-14-24_BAN63.eps,08/16/2024,0:42:01,8803,176.01,"Banner 63""",
Roland,Community Banner 96x42 print ready  SINGLE FACE  Need 9  8-14-24_BAN63.eps,08/16/2024,5:50:56,70969,1612.94,"Banner 63""",
HP,6X24_TAG_Sale_Signs_8-14-24_Back_PVC3,08/16/2024,0:28:07,5040,210,PVC 3mm 4' x 8' sheet,
Roland,Super Park 1x5.5 Please Tap Signs 8-14-24_HPW36.eps,08/16/2024,0:05:00,1330,39.69,"High Performance White 36""",
HP,6X24_TAG_Sale_Signs_8-14-24_PVC3,08/16/2024,0:29:32,5760,120,PVC 3mm 4' x 8' sheet,
HP,10073_manchester_4x6_signs_8-14-24_ALMS6,08/15/2024,0:44:12,6912,144,Aluminum 6mm acm 4' x 8' sheet,
Roland,Sample Print 2 electric boogaloo_TW24.eps,08/15/2024,0:10:58,2333,91.77,"Translucent White 24""",
HP,24x24_coro_signs_Need_8_7-31-24_CORPLS,08/15/2024,0:18:02,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
Roland,Alrata Family Dentistry_Sample Print_TW24.eps,08/15/2024,0:15:02,2563,164.06,"Translucent White 24""",
Roland,40x43 Lindell Lease Decal 8-14-24_INT54.eps,08/15/2024,0:14:01,3079,74.69,"Intermediate White 54""",
Roland,Qdoba Retractable Banner with face Avocado 8-15-24_BAN38.eps,08/15/2024,0:15:03,3296,108.01,"Banner 38""",
Roland,Cooler Clings Summer 2024 - Menu B Veg Changes_EDW54.eps,08/15/2024,0:13:00,2463,67.22,"Ez Dot (White) 54""",
Roland,Midas Construction_SAMPLE_PERF54.eps,08/14/2024,0:09:03,1969,44.47,"Perforated 54""",
HP,Commerce_18_x24_parking_only_8_13_24_ALM1824,08/14/2024,0:09:04,864,36,Aluminum 18 x 24 sheets,
HP,P1_St_Dominics_High_Billboard_Signs_8_9_24_ALMS063~1,08/13/2024,0:15:37,2971.4,83,Aluminum .063,
Roland,Twin Oaks_Reflective_RFVW48.eps,08/13/2024,0:23:01,3966,91.21,"Reflective White Vinyl 48""",
Roland,Covenant Presb Junior Pelicans & AHU 1 & GJ Grewe dumpster_8 13 24_HPW54.eps,08/13/2024,0:09:58,2629,55.21,"High Performance White 54""",
Roland,Visitation Handwashin 8x6 8 13 24_HPW54.eps,08/13/2024,0:07:00,2194,43.88,"High Performance White 54""",
HP,P2_St_Dominics_High_Billboard_Signs_8_9_24_ALMS063~1,08/13/2024,0:15:15,2957.08,82.6,Aluminum .063,
HP,The_Well_Church_Exterior_signs_7_30_24_p1_ALMS3,08/13/2024,,3456,72,Aluminum 3mm acm 4' x 8' sheet,
Roland,Bommarito Magnetics 8 12 24_MAG24.eps,08/13/2024,0:16:55,2297,102.01,"Magnet 24""",
HP,Gershman_Commercial_7X10_NOTICE_8_9_24_ALMR,08/12/2024,0:13:37,320.8,8,Reflective Aluminum 4' x 8' sheet,
Roland,ruler_INT54.eps,08/12/2024,0:15:05,1753,101.12,"Intermediate White 54""",
Roland,plaque print_HPW54.eps,08/12/2024,0:08:01,2469,54.33,"High Performance White 54""",
Roland,Covenant 2nd grade thru 6th grade 8 12 24_HPW54.eps,08/12/2024,0:06:04,1817,39.90,"High Performance White 54""",
Roland,Covenant 109 wall plaque 8 12 24_HPW54.eps,08/12/2024,0:01:59,1044,39.86,"High Performance White 54""",
Roland,Commece Financial Advisor & vilhelms truck 8 12 24_HPW54.eps,08/12/2024,0:10:57,2792,60.13,"High Performance White 54""",
Roland,Syberg Hours 8 12 24_HPW54.eps,08/12/2024,0:07:55,1857,48.61,"High Performance White 54""",
Roland,MU STL GARDEN HL 8 9 24_TW24.eps,08/12/2024,0:07:05,1271,63.60,"Translucent White 24""",
Roland,module logo for channel letters_TW24.eps,08/12/2024,0:09:01,1320,68.53,"Translucent White 24""",
Roland,Bommarito white pick up logos 1 9 24_HPW54.eps,08/12/2024,1:08:00,15828,340.59,"High Performance White 54""",
