Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Esitmated Material Length (in),Area (in),Extra for Lead in,Print Length,Print Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
Print End,XR-640#2,Central_2_12.11.24_INT30.eps,76930602,666.39,1628.42,Generic Vinyl II HD,1,702.195,1640.42,0.568:0.343:0.192:0.145:0.852:0.651:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/12/2024 11:58,12/12/2024 12:10,,0:12:00,,26.24,64.58,0,,64.58346457,1694.400589,0.568,0.343,0.192,0.145,0.852,0.651,0.825,3.576,0.3039092429
RIP End,XR-640#2,Central_2_12.11.24_INT30.eps,76930602,666.39,1628.42,Generic Vinyl II HD,1,702.195,1640.42,0.568:0.343:0.192:0.145:0.852:0.651:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 11:43:00,2024/12/12 11:46:00,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,0.568,0.343,0.192,0.145,0.852,0.651,0.825,3.576,0.3039092429
Print End,XR-640#2,Central_1_12.11.24_INT30.eps,77057202,666.39,1628.42,Generic Vinyl II HD,1,702.195,1640.42,0.568:0.343:0.192:0.145:0.853:0.652:0.826,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 11:41:00,2024/12/12 11:43:00,12/12/2024 11:41,2024/12/12 11:57:00,,0:16:00,,26.24,64.58,0,,64.58346457,1694.400589,0.568,0.343,0.192,0.145,0.853,0.652,0.826,3.579,0.3041642003
New Job(A),XR-640#2,Central_2_12.11.24_INT30.eps,76930602,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,2024/12/12 11:38:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print Canceled,XR-640#2,Central_1_12.11.24_INT30.eps,77057202,666.39,1628.42,Generic Vinyl II HD,1,702.195,1640.42,,,,2024/12/12 11:38:00,2024/12/12 11:38:00,12/12/2024 11:38,2024/12/12 11:38:00,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
New Job(A),XR-640#2,Central_1_12.11.24_INT30.eps,77057202,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,12/12/2024 11:24,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.567:0.343:0.192:0.145:0.854:0.652:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/12/2024 11:24,2024/12/12 11:37:00,,0:13:00,,26.24,64.58,0,,64.58346457,1694.400589,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145
Print Canceled,XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,,,,,,12/12/2024 11:20,12/12/2024 11:20,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,West_3_12.11.24_INT30.eps,78167778,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.567:0.343:0.192:0.145:0.854:0.652:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/12/2024 11:05,2024/12/12 11:19:00,,0:14:00,,26.24,64.58,0,,64.58346457,1694.400589,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145
Print End,XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.567:0.343:0.192:0.145:0.854:0.652:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/12/2024 10:20,12/12/2024 10:35,,0:15:00,,26.24,64.58,0,,64.58346457,1694.400589,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145
RIP End,XR-640#2,West_3_12.11.24_INT30.eps,78167778,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.567:0.343:0.192:0.145:0.854:0.652:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/12/2024 10:05,12/12/2024 10:08,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145
RIP End,XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.567:0.343:0.192:0.145:0.854:0.652:0.825,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 10:03:00,2024/12/12 10:05:00,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145
New Job(A),XR-640#2,West_3_12.11.24_INT30.eps,78167778,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,2024/12/12 10:00:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
RIP End,XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,0.421:0.360:0.302:0.023:0.855:0.603:0.395,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 10:00:00,2024/12/12 10:02:00,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,0.421,0.360,0.302,0.023,0.855,0.603,0.395,2.959,0.2514730004
New Job(A),XR-640#2,West_2_12.11.24_INT30.eps,77508182,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,2024/12/12 9:59:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,West_1_12.11.24_INT30.eps,77615242,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.568:0.343:0.192:0.145:0.855:0.653:0.826,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 9:57:00,2024/12/12 9:59:00,12/12/2024 9:57,2024/12/12 10:12:00,,0:15:00,,26.24,64.58,0,,64.58346457,1694.400589,0.568,0.343,0.192,0.145,0.855,0.653,0.826,3.582,0.3044191577
New Job(A),XR-640#2,West_1_12.11.24_INT30.eps,77615242,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,2024/12/12 9:53:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,East_3_12.11.24_INT30.eps,69945246,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.569:0.344:0.193:0.146:0.856:0.654:0.828,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/12/2024 9:38,2024/12/12 9:51:00,,0:13:00,,26.24,64.58,0,,64.58346457,1694.400589,0.569,0.344,0.193,0.146,0.856,0.654,0.828,3.59,0.3050990441
RIP End,XR-640#2,East_3_12.11.24_INT30.eps,69945246,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.569:0.344:0.193:0.146:0.856:0.654:0.828,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/12/2024 9:33,12/12/2024 9:35,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,0.569,0.344,0.193,0.146,0.856,0.654,0.828,3.59,0.3050990441
New Job(A),XR-640#2,East_3_12.11.24_INT30.eps,69945246,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,12/12/2024 9:32,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,East_2_12.11.24_INT30.eps,76911358,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.569:0.344:0.193:0.146:0.856:0.654:0.828,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/12/2024 9:16,12/12/2024 9:18,12/12/2024 9:16,12/12/2024 9:31,,0:15:00,,26.24,64.58,0,,64.58346457,1694.400589,0.569,0.344,0.193,0.146,0.856,0.654,0.828,3.59,0.3050990441
New Job(A),XR-640#2,East_2_12.11.24_INT30.eps,76911358,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,2024/12/12 9:15:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,East_1_12.11.24_INT30.eps,76638490,666.39,1628.42,Generic Vinyl II HD,1,702.695,1640.42,0.570:0.344:0.193:0.146:0.857:0.655:0.829,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/12 9:01:00,2024/12/12 9:03:00,12/12/2024 9:01,2024/12/12 9:16:00,,0:15:00,,26.24,64.58,0,,64.58346457,1694.400589,0.570,0.344,0.193,0.146,0.857,0.655,0.829,3.594,0.3054389874
New Job(A),XR-640#2,East_1_12.11.24_INT30.eps,76638490,666.39,1628.42,3M™ IJ180Cv3,1,666.39,1640.42,,,12/12/2024 9:00,,,,,,0:00:00,,26.24,64.58,0,,64.58346457,1694.400589,,,,,,,,0,0
Print End,XR-640#2,St. RA banner 3x6 8th grade Boys Volleyball 12-9-24_BAN38.eps,16187110,939.8,1879.6,Generic Banner II,1,941.9,1879.6,1.291:0.794:6.695:7.030:5.402:5.125:4.176,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/11 15:38:00,2024/12/11 15:39:00,12/11/2024 15:38,2024/12/11 15:53:00,,0:15:00,,37.00,74.00,0,,74,2738,1.291,0.794,6.695,7.030,5.402,5.125,4.176,30.513,1.604774288
New Job(A),XR-640#2,St. RA banner 3x6 8th grade Boys Volleyball 12-9-24_BAN38.eps,16187110,939.8,1879.6,3M™ IJ180Cv3,1,939.8,1891.6,,,2024/12/11 15:37:00,,,,,,0:00:00,,37.00,74.47,0,,74.47244094,2755.480315,,,,,,,,0,0
Print End,XR-640#2,4x20 banner The Future Clement Super Center 12-11-24_BAN63.eps,9637790,1270.35,6147.15,Generic Banner II,1,1425.17,6159.15,0.579:13.600:11.662:5.064:8.213:4.826:5.666,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/11 13:49:00,2024/12/11 13:51:00,12/11/2024 13:49,2024/12/11 14:54:00,,1:05:00,,50.01,242.49,0,,242.4862205,12127.65237,0.579,13.600,11.662,5.064,8.213,4.826,5.666,49.61,0.5890538237
New Job(A),XR-640#2,4x20 banner The Future Clement Super Center 12-11-24_BAN63.eps,9637790,1270.35,6147.15,3M™ IJ180Cv3,1,1270.34,6159.15,,,2024/12/11 13:48:00,,,,,,0:00:00,,50.01,242.49,0,,242.4862205,12127.65237,,,,,,,,0,0
Print End,XR-640#2,Cottleville_225th_Decal_HPW24_LAMI.eps,3684818,500.94,213.78,3M™ IJ180Cv3,1,533.97,225.78,0.037:0.134:0.136:0.011:0.138:0.065:0.097,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/11/2024 8:28,12/11/2024 8:33,,0:05:00,,19.72,8.89,0,,8.888976378,175.3088121,0.037,0.134,0.136,0.011,0.138,0.065,0.097,0.618,0.50762993
Print End,XR-640#2,Cottleville_225th_Decal_HPW24_LAMI.eps,3684818,500.94,213.78,3M™ IJ180Cv3,1,533.97,225.78,0.037:0.134:0.136:0.011:0.138:0.065:0.097,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/11 8:18:00,2024/12/11 8:18:00,12/11/2024 8:18,2024/12/11 8:25:00,,0:07:00,,19.72,8.89,0,,8.888976378,175.3088121,0.037,0.134,0.136,0.011,0.138,0.065,0.097,0.618,0.50762993
New Job(A),XR-640#2,Cottleville_225th_Decal_HPW24_LAMI.eps,3684818,500.94,213.78,3M™ IJ180Cv3,1,500.94,225.78,,,12/11/2024 8:17,,,,,,0:00:00,,19.72,8.89,0,,8.888976378,175.3088121,,,,,,,,0,0
New Job(A),XR-640#2,Cottleville_225th_Decal_HPW24_LAMI.eps,4305342,596.19,213.78,3M™ IJ180Cv3,1,596.19,225.78,,,2024/12/11 8:16:00,,,,,,0:00:00,,23.47,8.89,0,,8.888976378,208.6424735,,,,,,,,0,0
Print End,XR-640#2,2024 Boys Soccer champ banner 12-9-24_BAN38_FLL.eps,6856158,939.8,1882.77,Generic Banner II,1,942.9,1882.77,0.657:8.767:6.462:3.545:3.724:2.571:2.792,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/10/2024 14:36,12/10/2024 14:37,12/10/2024 14:36,12/10/2024 14:52,,0:16:00,,37.00,74.12,0,,74.12480315,2742.617717,0.657,8.767,6.462,3.545,3.724,2.571,2.792,28.518,1.497325703
New Job(A),XR-640#2,2024 Boys Soccer champ banner 12-9-24_BAN38_FLL.eps,6856158,939.8,1882.77,3M™ IJ180Cv3,1,939.8,1894.77,,,12/10/2024 14:36,,,,,,0:00:00,,37.00,74.60,0,,74.59724409,2760.098031,,,,,,,,0,0
Print End,XR-640#2,v2_50 yard drivign range sign_HPC54.eps,6489074,836.43,863.95,Generic Vinyl II HD,1,1075.475,836.43,0.174:1.083:0.770:0.707:0.643:0.313:0.417,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/10/2024 12:35,12/10/2024 12:45,,0:10:00,,32.93,32.93,0,,32.93031496,1084.405643,0.174,1.083,0.770,0.707,0.643,0.313,0.417,4.107,0.545375251
RIP End,XR-640#2,v2_50 yard drivign range sign_HPC54.eps,6489074,836.43,863.95,Generic Vinyl II HD,1,1075.475,836.43,0.174:1.083:0.770:0.707:0.643:0.313:0.417,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/10/2024 12:29,12/10/2024 12:31,,,,0:00:00,,32.93,32.93,0,,32.93031496,1084.405643,0.174,1.083,0.770,0.707,0.643,0.313,0.417,4.107,0.545375251
New Job(A),XR-640#2,v2_50 yard drivign range sign_HPC54.eps,6489074,836.43,863.95,3M™ IJ180Cv3,1,875.95,836.43,,,12/10/2024 12:29,,,,,,0:00:00,,32.93,32.93,0,,32.93031496,1084.405643,,,,,,,,0,0
Print End,XR-640#2,AAA Plumbing Side and Rear Perfs FINAL 12-10-24_PERF54.eps,5996190,1237.54,1498.95,Generic Vinyl II HD,1,1256.27,1510.95,0.226:0.813:0.624:1.158:0.821:0.420:0.405,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/10/2024 9:30,12/10/2024 9:35,12/10/2024 9:30,12/10/2024 9:51,,0:21:00,,48.72,59.49,0,,59.48622047,2898.290444,0.226,0.813,0.624,1.158,0.821,0.420,0.405,4.467,0.2219404895
New Job(A),XR-640#2,AAA Plumbing Side and Rear Perfs FINAL 12-10-24_PERF54.eps,5996190,1237.54,1498.95,3M™ IJ180Cv3,1,1510.95,1237.54,,,12/10/2024 9:22,,,,,,0:00:00,,48.72,48.72,0,,48.72204724,2373.837888,,,,,,,,0,0
New Job(A),XR-640#2,AAA Plumbing Side and Rear Perfs FINAL 12-10-24_PERF54.eps,5999598,1237.54,1498.95,3M™ IJ180Cv3,1,1510.95,1237.54,,,12/10/2024 9:22,,,,,,0:00:00,,48.72,48.72,0,,48.72204724,2373.837888,,,,,,,,0,0
Print End,XR-640#2,Stuckey and CO 180 12-9-24_RUB36.eps,1559714,636.41,101.6,Generic Paper,1,742.205,113.6,0.007:0.021:0.037:0.018:0.081:0.044:0.017,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/10/2024 8:46,12/10/2024 8:46,12/10/2024 8:46,12/10/2024 8:49,,0:03:00,,25.06,4.47,0,,4.472440945,112.0592969,0.007,0.021,0.037,0.018,0.081,0.044,0.017,0.225,0.2891326368
New Job(A),XR-640#2,Stuckey and CO 180 12-9-24_RUB36.eps,1559714,636.41,101.6,3M™ IJ180Cv3,1,636.41,113.6,,,12/10/2024 8:45,,,,,,0:00:00,,25.06,4.47,0,,4.472440945,112.0592969,,,,,,,,0,0
Print End,XR-640#2,50 yard drivign range sign_HPC54.eps,6526730,836.43,863.95,Generic Vinyl II HD,1,1090.975,836.43,0.182:1.094:0.823:0.707:0.801:0.388:0.430,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 15:07,12/9/2024 15:08,12/9/2024 15:07,12/9/2024 15:17,,0:10:00,,32.93,32.93,0,,32.93031496,1084.405643,0.182,1.094,0.823,0.707,0.801,0.388,0.430,4.425,0.5876029914
New Job(A),XR-640#2,50 yard drivign range sign_HPC54.eps,6526730,836.43,863.95,3M™ IJ180Cv3,1,875.95,836.43,,,12/9/2024 15:06,,,,,,0:00:00,,32.93,32.93,0,,32.93031496,1084.405643,,,,,,,,0,0
Print End,XR-640#2,hp clear print reverse backed with white_HPC54.eps,6432194,869.95,831.14,Generic Vinyl II HD,1,1074.57,869.95,0.083:0.029:0.093:0.001:0.216:0.169:0.070,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 14:02,12/9/2024 14:03,12/9/2024 14:02,12/9/2024 14:19,,0:17:00,,34.25,34.25,0,,34.25,1173.0625,0.083,0.029,0.093,0.001,0.216,0.169,0.070,0.661,0.08114145666
New Job(A),XR-640#2,hp clear print reverse backed with white_HPC54.eps,6432194,869.95,831.14,3M™ IJ180Cv3,1,869.95,843.14,,,12/9/2024 13:46,,,,,,0:00:00,,34.25,33.19,0,,33.19448819,1136.91122,,,,,,,,0,0
RIP End,XR-640#2,hp clear print reverse backed with white_HPC54.eps,6432194,869.95,831.14,Generic Vinyl II HD,1,1074.57,869.95,0.095:0.050:0.087:0.005:0.103:0.115:0.064,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 11:54,12/9/2024 11:55,,,,0:00:00,,34.25,34.25,0,,34.25,1173.0625,0.095,0.050,0.087,0.005,0.103,0.115,0.064,0.519,0.06371016037
New Job(A),XR-640#2,hp clear print reverse backed with white_HPC54.eps,6432194,869.95,831.14,3M™ IJ180Cv3,1,869.95,843.14,,,12/9/2024 11:54,,,,,,0:00:00,,34.25,33.19,0,,33.19448819,1136.91122,,,,,,,,0,0
Print End,XR-640#2,5x7 Sponsor Healthy Mind Counseling 11-25-24_BAN63.eps,5791174,1575.15,2184.75,Generic Banner II,1,1578.575,2196.75,0.162:0.166:0.583:0.039:1.219:1.345:0.676,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 10:48,12/9/2024 10:49,12/9/2024 10:48,12/9/2024 11:13,,0:25:00,,62.01,86.49,0,,86.48622047,5363.337409,0.162,0.166,0.583,0.039,1.219,1.345,0.676,4.19,0.1124971178
New Job(A),XR-640#2,5x7 Sponsor Healthy Mind Counseling 11-25-24_BAN63.eps,5791174,1575.15,2184.75,3M™ IJ180Cv3,1,1575.15,2196.75,,,12/9/2024 10:47,,,,,,0:00:00,,62.01,86.49,0,,86.48622047,5363.337409,,,,,,,,0,0
Print End,XR-640#2,5x7 Sponsor Crave Cookie 11-25-24_BAN63.eps,43067674,1574.8,2184.4,Generic Banner II,1,1578.4,2196.4,1.487:3.156:7.725:12.856:13.885:10.101:13.376,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/9/2024 10:12,12/9/2024 10:36,,0:24:00,,62.00,86.47,0,,86.47244094,5361.291339,1.487,3.156,7.725,12.856,13.885,10.101,13.376,62.586,1.681009934
RIP End,XR-640#2,5x7 Sponsor Crave Cookie 11-25-24_BAN63.eps,43067674,1574.8,2184.4,Generic Banner II,1,1578.4,2196.4,1.487:3.156:7.725:12.856:13.885:10.101:13.376,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 10:00,12/9/2024 10:02,,,,0:00:00,,62.00,86.47,0,,86.47244094,5361.291339,1.487,3.156,7.725,12.856,13.885,10.101,13.376,62.586,1.681009934
New Job(A),XR-640#2,5x7 Sponsor Crave Cookie 11-25-24_BAN63.eps,43067674,1574.8,2184.4,3M™ IJ180Cv3,1,1574.8,2196.4,,,12/9/2024 9:59,,,,,,0:00:00,,62.00,86.47,0,,86.47244094,5361.291339,,,,,,,,0,0
Print End,XR-640#2,5x7 Sponsor Baner Chris Rosenthal FINAL 12-2-24_BAN63.eps,12770206,1575.15,2184.75,Generic Banner II,1,1578.575,2196.75,0.951:2.437:0.456:0.591:2.476:2.191:2.266,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/9/2024 9:39,12/9/2024 9:41,12/9/2024 9:39,12/9/2024 10:09,,0:30:00,,62.01,86.49,0,,86.48622047,5363.337409,0.951,2.437,0.456,0.591,2.476,2.191,2.266,11.368,0.3052189104
New Job(A),XR-640#2,5x7 Sponsor Baner Chris Rosenthal FINAL 12-2-24_BAN63.eps,12770206,1575.15,2184.75,3M™ IJ180Cv3,1,1575.15,2196.75,,,12/9/2024 9:38,,,,,,0:00:00,,62.01,86.49,0,,86.48622047,5363.337409,,,,,,,,0,0
Print End,XR-640#2,Midwest Gas Ford Pick Up 12 3 24_HPW36_LAMI.eps,6590630,849.84,1702.85,3M™ IJ180Cv3,1,867.42,1714.85,0.369:2.087:0.953:0.093:1.172:0.623:0.858,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/5/2024 9:27,12/5/2024 9:30,12/5/2024 9:27,12/5/2024 9:43,,0:16:00,,33.46,67.51,0,,67.51377953,2258.89411,0.369,2.087,0.953,0.093,1.172,0.623,0.858,6.155,0.3923689898
New Job(A),XR-640#2,Midwest Gas Ford Pick Up 12 3 24_HPW36_LAMI.eps,6590630,849.84,1702.85,3M™ IJ180Cv3,1,849.84,1714.85,,,12/5/2024 9:26,,,,,,0:00:00,,33.46,67.51,0,,67.51377953,2258.89411,,,,,,,,0,0
New Job(A),XR-640#2,Midwest Gas Ford Pick Up 12 3 24_HPW36_LAMI.eps,6718234,818.79,1672.16,3M™ IJ180Cv3,1,818.79,1684.16,,,12/5/2024 9:26,,,,,,0:00:00,,32.24,66.31,0,,66.30551181,2137.412993,,,,,,,,0,0
Print End,XR-640#2,Alamo banner_BAN63.eps,5647878,1377.94,660.4,Generic Banner II,1,1467.47,660.4,4.916:1.011:1.757:0.000:3.806:2.599:0.622,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/4/2024 16:02,12/4/2024 16:02,12/4/2024 16:02,12/4/2024 16:09,,0:07:00,,54.25,26.00,0,,26,1410.489764,4.916,1.011,1.757,0.000,3.806,2.599,0.622,14.711,1.501878322
New Job(A),XR-640#2,Alamo banner_BAN63.eps,5647878,1377.94,660.4,3M™ IJ180Cv3,1,1377.94,672.4,,,12/4/2024 16:00,,,,,,0:00:00,,54.25,26.47,0,,26.47244094,1436.119499,,,,,,,,0,0
Print End,XR-640#2,Brook 40th 2x3 Sign Final 12-4-24_BAN38_FLL.eps,111206978,914.4,660.75,Generic Banner II,1,930.2,660.75,0.130:0.505:1.816:0.358:1.840:1.315:1.371,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,12/4/2024 15:37,12/4/2024 15:37,12/4/2024 15:37,12/4/2024 15:43,,0:06:00,,36.00,26.01,0,,26.01377953,936.496063,0.130,0.505,1.816,0.358,1.840,1.315,1.371,7.335,1.127863791
New Job(A),XR-640#2,Brook 40th 2x3 Sign Final 12-4-24_BAN38_FLL.eps,111206978,914.4,660.75,3M™ IJ180Cv3,1,914.4,672.75,,,12/4/2024 15:36,,,,,,0:00:00,,36.00,26.49,0,,26.48622047,953.503937,,,,,,,,0,0
Print End,XR-640#2,P2_SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,3751802,631.47,259.29,Generic Vinyl II HD,1,684.735,271.29,0.139:0.346:0.317:0.014:0.310:0.140:0.182,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/4/2024 14:55,12/4/2024 15:00,,0:05:00,,24.86,10.68,0,,10.68070866,265.5333503,0.139,0.346,0.317,0.014,0.310,0.140,0.182,1.448,0.7852572934
Print Canceled,XR-640#2,P2_SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,3751802,631.47,259.29,Generic Vinyl II HD,1,684.735,271.29,0.139:0.346:0.317:0.014:0.310:0.140:0.182,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/04 14:46:00,2024/12/04 14:46:00,12/4/2024 14:46,2024/12/04 14:49:00,,0:03:00,,24.86,10.68,0,,10.68070866,265.5333503,0.139,0.346,0.317,0.014,0.310,0.140,0.182,1.448,0.7852572934
New Job(A),XR-640#2,P2_SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,3751802,631.47,259.29,3M™ IJ180Cv3,1,631.47,271.29,,,2024/12/04 14:45:00,,,,,,0:00:00,,24.86,10.68,0,,10.68070866,265.5333503,,,,,,,,0,0
Print End,XR-640#2,SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,6088370,633.58,484.36,Generic Vinyl II HD,1,685.79,496.36,0.139:0.490:0.607:0.017:0.509:0.162:0.255,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/04 14:37:00,2024/12/04 14:38:00,12/4/2024 14:37,2024/12/04 14:43:00,,0:06:00,,24.94,19.54,0,,19.54173228,487.4508165,0.139,0.490,0.607,0.017,0.509,0.162,0.255,2.179,0.6437080201
New Job(A),XR-640#2,SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,6088370,633.58,484.36,3M™ IJ180Cv3,1,633.58,496.36,,,2024/12/04 14:37:00,,,,,,0:00:00,,24.94,19.54,0,,19.54173228,487.4508165,,,,,,,,0,0
Print End,XR-640#2,SSM Blue Pantone 281 v2_12.04.24_DN48.eps,6405122,1162.05,3175,Generic Vinyl II HD,1,1166.99,3200.52,11.103:18.859:0.000:4.386:13.272:11.896:16.232,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,12/4/2024 11:54,12/4/2024 12:24,,0:30:00,,45.75,126.00,0,,126.0047244,5764.716142,11.103,18.859,0.000,4.386,13.272,11.896,16.232,75.748,1.892150755
Print Canceled,XR-640#2,SSM Blue Pantone 281 v2_12.04.24_DN48.eps,6405122,1162.05,3175,Generic Vinyl II HD,1,1166.99,3200.52,11.103:18.859:0.000:4.386:13.272:11.896:16.232,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/12/04 11:36:00,2024/12/04 11:48:00,12/4/2024 11:36,2024/12/04 11:52:00,,0:16:00,,45.75,126.00,0,,126.0047244,5764.716142,11.103,18.859,0.000,4.386,13.272,11.896,16.232,75.748,1.892150755
New Job(A),XR-640#2,SSM Blue Pantone 281 v2_12.04.24_DN48.eps,6405122,1162.05,3175,3M™ IJ180Cv3,1,1162.05,3187,,,2024/12/04 11:33:00,,,,,,0:00:00,,45.75,125.47,0,,125.4724409,5740.364173,,,,,,,,0,0
New Job(A),XR-640#2,SSM Blue Pantone 281 v2_12.04.24_DN48.eps,6555158,1168.39,2489.19,3M™ IJ180Cv3,1,1168.39,2501.19,,,2024/12/04 11:21:00,,,,,,0:00:00,,46.00,98.47,0,,98.47204724,4529.675405,,,,,,,,0,0
