Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Length (in),Area (in),Extra for Lead in,Actual Length area,Actual Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
Print Canceled,XR-640#2,Sullivan inn Sign-Insert.eps,92463238,609.59,2133.6,Generic Vinyl II,1,898.795,2145.6,0.657:2.104:3.569:0.236:1.686:0.726:0.696,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/29 8:53:04,2024/01/29 8:54:05,1/29/2024,2024/01/29 9:07:04,,0:14:00,,24.00,84.47,0,,84.47244094,2027.305326,0.657,2.104,3.569,0.236,1.686,0.726,0.696,9.674,0.6871466188
New Job(A),XR-640#2,Sullivan inn Sign-Insert.eps,92463238,609.59,2133.6,3M™ IJ180Cv3,1,609.59,2145.6,,,2024/01/29 8:49:05,,,,,,0:00:00,,24.00,84.47,0,,84.47244094,2027.305326,,,,,,,,0,0
Print End,XR-640#2,The Sullivan Inn Sign-Insert samples.eps,87748006,355.6,101.6,Generic Vinyl II HD,1,480.8,113.6,0.030:0.091:0.134:0.013:0.046:0.019:0.023,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/26 14:06:03,2024/01/26 14:06:04,1/26/2024,2024/01/26 14:11:03,,0:05:00,,14.00,4.47,0,,4.472440945,62.61417323,0.030,0.091,0.134,0.013,0.046,0.019,0.023,0.356,0.8187283702
Print End,XR-640#2,The Sullivan Inn Sign-Insert samples.eps,87748006,355.6,101.6,SGP3 : Solvent Glossy Paper (ESM),1,480.8,113.6,0.031:0.089:0.104:0.005:0.043:0.015:0.005,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/26 13:59:00,2024/01/26 13:59:02,1/26/2024,2024/01/26 14:00:02,,0:01:02,,14.00,4.47,0,,4.472440945,62.61417323,0.031,0.089,0.104,0.005,0.043,0.015,0.005,0.292,0.6715412475
Print End,XR-640#2,The Sullivan Inn Sign-Insert samples.eps,87748006,355.6,101.6,Generic Vinyl II HD,1,480.8,101.6,0.024:0.071:0.124:0.008:0.114:0.034:0.037,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/26 13:51:01,2024/01/26 13:51:04,1/26/2024,2024/01/26 13:55:04,,0:04:03,,14.00,4.00,0,,4,56,0.024,0.071,0.124,0.008,0.114,0.034,0.037,0.412,1.059428571
New Job(A),XR-640#2,The Sullivan Inn Sign-Insert samples.eps,87748006,355.6,101.6,3M™ IJ180Cv3,1,355.6,113.6,,,2024/01/26 13:50:01,,,,,,0:00:00,,14.00,4.47,0,,4.472440945,62.61417323,,,,,,,,0,0
Print End,XR-640#2,Caplaco LM Lash.eps,6976254,546.8,945.79,3M™ IJ180Cv3,1,716.395,957.79,0.112:0.266:0.208:0.410:0.510:0.286:0.483,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/24 15:28:05,2024/01/24 15:30:00,1/24/2024,2024/01/24 15:40:03,,0:11:58,,21.53,37.71,0,,37.70826772,811.7669601,0.112,0.266,0.208,0.410,0.510,0.286,0.483,2.275,0.4035640967
New Job(A),XR-640#2,Caplaco LM Lash.eps,6976254,546.8,945.79,3M™ IJ180Cv3,1,957.79,546.79,,,2024/01/24 15:28:03,,,,,,0:00:00,,21.53,21.53,0,,21.52716535,463.4273235,,,,,,,,0,0
New Job(A),XR-640#2,Caplaco LM Lash.eps,5653902,945.79,284.33,3M™ IJ180Cv3,1,945.79,296.33,,,2024/01/24 15:15:05,,,,,,0:00:00,,37.24,11.67,0,,11.66653543,434.4130924,,,,,,,,0,0
Print End,XR-640#2,HUNT GALLERY POSTER RG-01 FINAL RUSH 1-24-24.eps,19099462,762,889,Generic Paper,1,889,762,0.327:0.457:0.416:0.117:1.002:0.804:0.496,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/24 11:14:02,2024/01/24 11:14:05,1/24/2024,2024/01/24 11:21:00,,0:06:58,,30.00,30.00,0,,30,900,0.327,0.457,0.416,0.117,1.002,0.804,0.496,3.619,0.57904
New Job(A),XR-640#2,HUNT GALLERY POSTER RG-01 FINAL RUSH 1-24-24.eps,19099462,762,889,3M™ IJ180Cv3,1,901,762,,,2024/01/24 11:09:04,,,,,,0:00:00,,30.00,30.00,0,,30,900,,,,,,,,0,0
Print End,XR-640#2,Legacy Law Center  Redo 1-23-24.eps,2545694,600.07,131.23,Generic Paper,1,741.54,131.22,0.007:0.017:0.038:0.014:0.092:0.052:0.019,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/24 10:30:01,2024/01/24 10:30:02,1/24/2024,2024/01/24 10:31:03,,0:01:02,,23.62,5.17,0,,5.166141732,122.0490815,0.007,0.017,0.038,0.014,0.092,0.052,0.019,0.239,0.2819849161
New Job(A),XR-640#2,Legacy Law Center  Redo 1-23-24.eps,2545694,600.07,131.23,3M™ IJ180Cv3,1,600.07,143.22,,,2024/01/24 10:28:04,,,,,,0:00:00,,23.62,5.64,0,,5.638582677,133.2104058,,,,,,,,0,0
Print End,XR-640#2,Door Perf Print.eps,5820850,679.45,1800.22,Generic Vinyl II HD,1,996.725,1812.22,0.102:0.111:1.099:0.437:0.423:0.204:0.169,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/24 9:17:00,2024/01/24 9:19:01,1/24/2024,2024/01/24 9:39:03,,0:22:03,,26.75,71.35,0,,71.34724409,1908.53878,0.102,0.111,1.099,0.437,0.423,0.204,0.169,2.545,0.1920212489
New Job(A),XR-640#2,Door Perf Print.eps,5820850,679.45,1800.22,3M™ IJ180Cv3,1,679.45,1812.22,,,2024/01/24 9:10:01,,,,,,0:00:00,,26.75,71.35,0,,71.34724409,1908.53878,,,,,,,,0,0
Print End,XR-640#2,Bandwidth riverport Q T wall sign 1 16 24.eps,3302482,666.75,183.79,Generic Paper,1,685.875,195.79,0.067:0.138:0.062:0.342:0.147:0.123:0.099,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 16:07:00,2024/01/23 16:07:01,1/23/2024,2024/01/23 16:08:04,,0:01:04,,26.25,7.71,0,,7.708267717,202.3420276,0.067,0.138,0.062,0.342,0.147,0.123,0.099,0.978,0.6960096313
New Job(A),XR-640#2,Bandwidth riverport Q T wall sign 1 16 24.eps,3302482,666.75,183.79,3M™ IJ180Cv3,1,666.75,195.79,,,2024/01/23 15:31:04,,,,,,0:00:00,,26.25,7.71,0,,7.708267717,202.3420276,,,,,,,,0,0
Print End,XR-640#2,4x8 banner 1-18-24.eps,11285018,5330.11,1270,Generic Banner II,1,1285,5330.11,1.477:4.280:6.543:6.184:11.944:7.592:10.130,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 14:54:02,2024/01/23 14:56:02,1/23/2024,2024/01/23 15:49:05,,0:55:03,,209.85,209.85,0,,209.8468504,44035.70062,1.477,4.280,6.543,6.184,11.944,7.592,10.130,48.15,0.1574540635
New Job(A),XR-640#2,4x8 banner 1-18-24.eps,11285018,5330.11,1270,3M™ IJ180Cv3,1,1282,5330.11,,,2024/01/23 14:52:03,,,,,,0:00:00,,209.85,209.85,0,,209.8468504,44035.70062,,,,,,,,0,0
New Job(A),XR-640#2,4x8 banner 1-18-24.eps,11285606,5330.11,1270,3M™ IJ180Cv3,1,1282,5330.11,,,2024/01/23 14:51:05,,,,,,0:00:00,,209.85,209.85,0,,209.8468504,44035.70062,,,,,,,,0,0
Print End,XR-640#2,Scannell Logistics_Hard Hat Sticker_2.5_FOR PRINT.eps,14980010,627.94,2912.53,Generic Vinyl II HD,1,670.97,2924.53,0.718:1.088:1.382:0.477:2.690:1.530:2.040,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 13:18:03,2024/01/23 13:22:02,1/23/2024,2024/01/23 13:45:04,,0:27:01,,24.72,115.14,0,,115.1389764,2846.471214,0.718,1.088,1.382,0.477,2.690,1.530,2.040,9.925,0.502095364
Print End,XR-640#2,Veltmans Hauling Mag 1 17 24 - 2[Converted].eps,3948002,596.9,305.5,Generic Vinyl II HD,1,595.99,305.03,0.114:0.121:0.025:0.145:0.248:0.170:0.228,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/23/2024,2024/01/23 12:45:01,,0:06:00,,23.50,12.01,0,,12.00905512,282.2127953,0.114,0.121,0.025,0.145,0.248,0.170,0.228,1.051,0.5362761807
Print Error,XR-640#2,Veltmans Hauling Mag 1 17 24 - 2[Converted].eps,3948002,596.9,305.5,Generic Vinyl II HD,1,595.99,305.03,0.114:0.121:0.025:0.145:0.248:0.170:0.228,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 11:57:02,2024/01/23 11:57:05,1/23/2024,2024/01/23 12:02:00,Print Error : Unknown error.,0:04:58,,23.50,12.01,0,,12.00905512,282.2127953,0.114,0.121,0.025,0.145,0.248,0.170,0.228,1.051,0.5362761807
New Job(A),XR-640#2,Veltmans Hauling Mag 1 17 24 - 2[Converted].eps,3948002,596.9,305.5,3M™ IJ180Cv3,1,596.9,317.5,,,2024/01/23 11:56:00,,,,,,0:00:00,,23.50,12.50,0,,12.5,293.75,,,,,,,,0,0
Print End,XR-640#2,Veltmans Hauling Mag 1 17 24 [Converted].eps,6430830,596.9,915.1,Generic Vinyl II HD,1,595.995,913.72,0.342:0.363:0.075:0.436:0.744:0.511:0.683,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 11:38:02,2024/01/23 11:39:03,1/23/2024,2024/01/23 11:48:04,,0:10:02,,23.50,35.97,0,,35.97322835,845.3708661,0.342,0.363,0.075,0.436,0.744,0.511,0.683,3.154,0.537250594
New Job(A),XR-640#2,Scannell Logistics_Hard Hat Sticker_2.5_FOR PRINT.eps,14980010,627.94,2912.53,3M™ IJ180Cv3,1,627.94,2924.53,,,2024/01/23 11:25:03,,,,,,0:00:00,,24.72,115.14,0,,115.1389764,2846.471214,,,,,,,,0,0
New Job(A),XR-640#2,Veltmans Hauling Mag 1 17 24 [Converted].eps,6430830,596.9,915.1,3M™ IJ180Cv3,1,927.1,596.9,,,2024/01/23 11:17:02,,,,,,0:00:00,,23.50,23.50,0,,23.5,552.25,,,,,,,,0,0
Print End,XR-640#2,Contech Promaster Final B 1 15 24.eps,193861978,871,1909.23,3M™ IJ180Cv3,1,878,1921.23,0.712:2.117:2.653:1.160:4.730:2.302:2.511,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 10:54:05,2024/01/23 10:59:01,1/23/2024,2024/01/23 11:18:02,,0:23:57,,34.29,75.64,0,,75.63897638,2593.761749,0.712,2.117,2.653,1.160,4.730,2.302,2.511,16.185,0.8985559298
Print End,XR-640#2,Wash U 2022 Recycle Decals 4x8  Various NEW 1-17-24.eps,734105794,881.94,2190.39,3M™ IJ180Cv3,1,881.94,2202.39,0.630:0.984:2.079:0.044:2.368:1.430:0.550,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 9:56:02,2024/01/23 10:03:01,1/23/2024,2024/01/23 10:24:04,,0:28:02,,34.72,86.71,0,,86.70826772,3010.688568,0.630,0.984,2.079,0.044,2.368,1.430,0.550,8.085,0.3867022356
New Job(A),XR-640#2,Contech Promaster Final B 1 15 24.eps,193861978,871,1909.23,3M™ IJ180Cv3,1,871,1921.23,,,2024/01/23 9:32:03,,,,,,0:00:00,,34.29,75.64,0,,75.63897638,2593.761749,,,,,,,,0,0
New Job(A),XR-640#2,Wash U 2022 Recycle Decals 4x8  Various NEW 1-17-24.eps,734105794,881.94,2190.39,3M™ IJ180Cv3,1,881.94,2202.39,,,2024/01/23 9:13:04,,,,,,0:00:00,,34.72,86.71,0,,86.70826772,3010.688568,,,,,,,,0,0
Print End,XR-640#2,REUSEPASS Decals 14x26 4side and 3front 1-17-24.eps,74987046,779.63,2777.41,3M™ IJ180Cv3,1,827.815,2789.41,2.700:5.285:1.695:0.704:4.393:3.701:4.149,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/23 9:02:04,2024/01/23 9:10:04,1/23/2024,2024/01/23 9:35:05,,0:33:01,,30.69,109.82,0,,109.8192913,3370.803705,2.700,5.285,1.695,0.704,4.393,3.701,4.149,22.627,0.9666205111
New Job(A),XR-640#2,REUSEPASS Decals 14x26 4side and 3front 1-17-24.eps,74987046,779.63,2777.41,3M™ IJ180Cv3,1,779.63,2789.41,,,2024/01/23 9:01:04,,,,,,0:00:00,,30.69,109.82,0,,109.8192913,3370.803705,,,,,,,,0,0
Print End,XR-640#2,Chuck it in storage grace baptist print 2.eps,6716902,1289.75,1487.66,3M™ IJ180Cv3,1,1303.875,1499.66,0.408:2.237:1.651:0.091:1.872:0.792:1.028,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/18/2024,2024/01/18 13:59:01,,0:16:58,,50.78,59.04,0,,59.04173228,2997.995048,0.408,2.237,1.651,0.091,1.872,0.792,1.028,8.079,0.3880513415
Print End,XR-640#2,Chuck it in storage grace baptist print 2.eps,6716902,1289.75,1487.66,3M™ IJ180Cv3,1,1303.875,1499.66,0.408:2.237:1.651:0.091:1.872:0.792:1.028,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/18 13:00:00,2024/01/18 13:03:05,1/18/2024,2024/01/18 13:20:03,,0:20:03,,50.78,59.04,0,,59.04173228,2997.995048,0.408,2.237,1.651,0.091,1.872,0.792,1.028,8.079,0.3880513415
New Job(A),XR-640#2,Chuck it in storage grace baptist print 2.eps,6716902,1289.75,1487.66,3M™ IJ180Cv3,1,1499.66,1289.75,,,2024/01/18 12:59:01,,,,,,0:00:00,,50.78,50.78,0,,50.77755906,2578.360504,,,,,,,,0,0
Print End,XR-640#2,Chuck it in storage grace baptist print 1.eps,6409846,488.59,1479.19,3M™ IJ180Cv3,1,528.295,1491.19,0.505:2.294:2.107:0.116:2.337:0.950:1.322,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/18/2024,2024/01/18 11:11:02,,0:12:01,,19.24,58.71,0,,58.70826772,1129.302068,0.505,2.294,2.107,0.116,2.337,0.950,1.322,9.631,1.228071779
Print End,XR-640#2,Chuck it in storage grace baptist print 1.eps,6409846,488.59,1479.19,3M™ IJ180Cv3,1,528.295,1491.19,0.505:2.294:2.107:0.116:2.337:0.950:1.322,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/18 10:28:05,2024/01/18 10:31:05,1/18/2024,2024/01/18 10:43:05,,0:15:00,,19.24,58.71,0,,58.70826772,1129.302068,0.505,2.294,2.107,0.116,2.337,0.950,1.322,9.631,1.228071779
New Job(A),XR-640#2,Chuck it in storage grace baptist print 1.eps,6409846,488.59,1479.19,3M™ IJ180Cv3,1,1491.19,488.59,,,2024/01/18 10:26:03,,,,,,0:00:00,,19.24,19.24,0,,19.23582677,370.0170316,,,,,,,,0,0
Print End,XR-640#2,Syberg Hours 1 17 24 .eps,6892262,611.01,1001.53,3M™ IJ180Cv3,1,674.005,1013.53,0.024:0.297:0.247:0.007:0.321:0.145:0.053,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/18 9:49:01,2024/01/18 9:50:03,1/18/2024,2024/01/18 10:00:03,,0:11:02,,24.06,39.90,0,,39.90275591,959.881216,0.024,0.297,0.247,0.007,0.321,0.145,0.053,1.094,0.1641203072
New Job(A),XR-640#2,Syberg Hours 1 17 24 .eps,6892262,611.01,1001.53,3M™ IJ180Cv3,1,1013.53,611.01,,,2024/01/18 9:45:03,,,,,,0:00:00,,24.06,24.06,0,,24.05551181,578.6676485,,,,,,,,0,0
Print End,XR-640#2,CORRECT John Burrough States 2024 1-11-24.eps,6657126,670.63,3692.17,3M™ IJ180Cv3,1,703.815,3704.17,2.641:3.089:2.034:0.061:5.423:3.476:1.786,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/01/18 8:42:04,2024/01/18 8:49:03,1/18/2024,2024/01/18 9:17:04,,0:35:00,,26.40,145.83,0,,145.8334646,3850.405368,2.641,3.089,2.034,0.061,5.423,3.476,1.786,18.51,0.6922491908
New Job(A),XR-640#2,CORRECT John Burrough States 2024 1-11-24.eps,6657126,670.63,3692.17,3M™ IJ180Cv3,1,670.63,3704.17,,,2024/01/18 8:42:02,,,,,,0:00:00,,26.40,145.83,0,,145.8334646,3850.405368,,,,,,,,0,0
Print End,XR-640#2,SECURE 4x7 inserts 2-13-24.eps,2240914,533.75,101.95,Generic Paper,1,542.875,101.95,0.010:0.056:0.002:0.001:0.017:0.023:0.012,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2/13/2024 10:24,2/13/2024 10:24,2/13/2024,2/13/2024 10:25,,0:01:00,,21.01,4.01,0,,4.013779528,84.34467806,0.010,0.056,0.002,0.001,0.017,0.023,0.012,0.121,0.2065809059
New Job(A),XR-640#2,SECURE 4x7 inserts 2-13-24.eps,2240914,533.75,101.95,3M™ IJ180Cv3,1,533.75,113.95,,,2/13/2024 10:22,,,,,,0:00:00,,21.01,4.49,0,,4.486220472,94.27244792,,,,,,,,0,0
New Job(A),XR-640#2,SECURE 4x7 inserts 2-13-24.eps,1928554,178.15,203.55,3M™ IJ180Cv3,1,215.55,178.15,,,2/13/2024 10:21,,,,,,0:00:00,,7.01,7.01,0,,7.013779528,49.19310326,,,,,,,,0,0
Print End,XR-640#2,Caplaco STL Sports.eps,8979554,560.21,945.79,3M™ IJ180Cv3,1,648.105,957.79,0.069:0.532:0.351:0.053:0.431:0.197:0.116,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/13/2024,2/13/2024 9:28,,0:07:00,,22.06,37.71,0,,37.70826772,831.675144,0.069,0.532,0.351,0.053,0.431,0.197,0.116,1.749,0.3028297789
Print Canceled,XR-640#2,Caplaco STL Sports.eps,8979554,560.21,945.79,3M™ IJ180Cv3,1,648.105,957.79,,,,,,2/13/2024,2/13/2024 9:20,,0:04:00,,22.06,37.71,0,,37.70826772,831.675144,,,,,,,,0,0
RIP End,XR-640#2,Caplaco STL Sports.eps,8979554,560.21,945.79,3M™ IJ180Cv3,1,648.105,957.79,0.069:0.532:0.351:0.053:0.431:0.197:0.116,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2/13/2024 9:14,2/13/2024 9:15,,,,0:00:00,,22.06,37.71,0,,37.70826772,831.675144,0.069,0.532,0.351,0.053,0.431,0.197,0.116,1.749,0.3028297789
New Job(A),XR-640#2,Caplaco STL Sports.eps,8979554,560.21,945.79,3M™ IJ180Cv3,1,957.79,560.21,,,2/13/2024 9:13,,,,,,0:00:00,,22.06,22.06,0,,22.05551181,486.4456012,,,,,,,,0,0
Print End,XR-640#2,Eclipse Logo Final NEED 2  2-6-24.eps,5824702,722.48,388.4,3M™ IJ180Cv3,1,726.74,400.4,0.051:0.936:0.620:0.001:0.658:0.214:0.113,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/13/2024,2/13/2024 9:13,,0:06:00,60.00,28.44,45.76,2745.826772,30,15.76377953,448.3864344,0.051,0.936,0.620,0.001,0.658,0.214,0.113,2.593,0.8327459784
Print End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/13/2024,2/13/2024 8:44,,0:20:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
Print Canceled,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,,,,,,2/13/2024,2/13/2024 8:21,,0:01:00,60.00,57.47,94.71,0,30,64.70826772,3718.916619,,,,,,,,0,0
Print Start,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,,,,,,2/13/2024,,,-1088048:18:00,60.00,57.47,94.71,0,30,64.70826772,3718.916619,,,,,,,,0,0
Print End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2/12/2024 16:33,,0:21:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
Print End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2/12/2024 16:00,,0:23:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
Print End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2/12/2024 15:23,,0:20:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
RIP End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2/12/2024 14:51,2/12/2024 14:55,,,,0:00:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
New Job(A),XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1459.79,1643.59,,,2/12/2024 14:50,,,,,,0:00:00,,57.47,64.71,0,,64.70826772,3718.916619,,,,,,,,0,0
Print End,XR-640#2,Clayco 2024 PFGNorthPark Need 50  2-15-24.eps,11962602,751.06,545.04,3M™ IJ180Cv3,1,809.03,557.04,0.077:0.289:0.566:0.064:0.470:0.243:0.228,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/16/2024,2024/02/16 8:42:05,,0:07:02,,29.57,21.93,0,,21.93070866,648.4755137,0.077,0.289,0.566,0.064,0.470,0.243,0.228,1.937,0.4301288084
RIP End,XR-640#2,Clayco 2024 PFGNorthPark Need 50  2-15-24.eps,11962602,751.06,545.04,3M™ IJ180Cv3,1,809.03,557.04,0.077:0.289:0.566:0.064:0.470:0.243:0.228,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/16 8:34:03,2024/02/16 8:35:02,,,,0:00:00,,29.57,21.93,0,,21.93070866,648.4755137,0.077,0.289,0.566,0.064,0.470,0.243,0.228,1.937,0.4301288084
Print End,XR-640#2,Clayco 2024 PFGNorthPark Need 50  2-15-24.eps,11962602,751.06,545.04,3M™ IJ180Cv3,1,760.03,557.04,0.077:0.289:0.566:0.064:0.470:0.243:0.228,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/16 8:07:00,2024/02/16 8:08:00,2/16/2024,2024/02/16 8:17:00,,0:10:00,,29.57,21.93,0,,21.93070866,648.4755137,0.077,0.289,0.566,0.064,0.470,0.243,0.228,1.937,0.4301288084
New Job(A),XR-640#2,Clayco 2024 PFGNorthPark Need 50  2-15-24.eps,11962602,751.06,545.04,3M™ IJ180Cv3,1,751.06,557.04,,,2024/02/16 8:06:04,,,,,,0:00:00,,29.57,21.93,0,,21.93070866,648.4755137,,,,,,,,0,0
Print End,XR-640#2,OZARK Commercial FINAL LOGO For Plex 2-15-24.eps,8330846,752.82,1860.19,3M™ IJ180Cv3,1,760.91,1872.19,0.880:0.607:1.057:0.051:1.920:1.430:0.698,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/15 9:44:02,2024/02/15 9:49:02,2/15/2024,2024/02/15 10:05:00,,0:20:58,,29.64,73.71,0,,73.70826772,2184.608587,0.880,0.607,1.057,0.051,1.920,1.430,0.698,6.643,0.4378779823
New Job(A),XR-640#2,OZARK Commercial FINAL LOGO For Plex 2-15-24.eps,8330846,752.82,1860.19,3M™ IJ180Cv3,1,752.82,1872.19,,,2024/02/15 9:44:00,,,,,,0:00:00,,29.64,73.71,0,,73.70826772,2184.608587,,,,,,,,0,0
New Job(A),XR-640#2,OZARK Commercial FINAL LOGO For Plex 2-15-24.eps,9331986,752.82,1860.19,3M™ IJ180Cv3,1,752.82,1872.19,,,2024/02/15 9:41:02,,,,,,0:00:00,,29.64,73.71,0,,73.70826772,2184.608587,,,,,,,,0,0
Print End,XR-640#2,Caplaco Shelter Ins.eps,5718086,550.33,945.79,3M™ IJ180Cv3,1,650.665,957.79,0.312:0.103:0.155:1.361:0.553:0.449:0.284,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/15 8:21:01,2024/02/15 8:22:03,2/15/2024,2024/02/15 8:32:00,,0:10:59,,21.67,37.71,0,,37.70826772,817.0075186,0.312,0.103,0.155,1.361,0.553,0.449,0.284,3.217,0.5670057979
New Job(A),XR-640#2,Caplaco Shelter Ins.eps,5718086,550.33,945.79,3M™ IJ180Cv3,1,957.79,550.33,,,2024/02/15 8:21:00,,,,,,0:00:00,,21.67,21.67,0,,21.66653543,469.4387577,,,,,,,,0,0
New Job(A),XR-640#2,Caplaco Shelter Ins.eps,5718086,550.33,945.79,3M™ IJ180Cv3,1,957.79,550.33,,,2024/02/15 8:20:00,,,,,,0:00:00,,21.67,21.67,0,,21.66653543,469.4387577,,,,,,,,0,0
Print End,XR-640#2,letter i for eclipse logo.eps,2145602,624.41,92.42,3M™ IJ180Cv3,1,687.705,104.42,0.000:0.305:0.161:0.001:0.077:0.002:0.021,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/14 15:18:03,2024/02/14 15:18:04,2/14/2024,2024/02/14 15:22:02,,0:03:59,,24.58,4.11,0,,4.111023622,101.061585,0.000,0.305,0.161,0.001,0.077,0.002,0.021,0.567,0.8079034182
